signal_date,ticker,support_category,support_type,last_close,support_price,zone_low,zone_high,last_open,last_high,last_low,atr14,ema50,ema200,hh_count,hl_count,last_ph_price,last_pl_price,recent_high_20,recent_high_252,lower_tail_ratio,score,score_trend,score_support_quality,score_reaction,score_liquidity,score_room,reasons
2026-07-14,POET,monitor,breakout_retest,8.81,8.27,7.9791,8.5609,8.38,8.85,8.25,1.1636,10.4297,8.404,1,2,15.08,10.11,15.08,20.81,0.217,84.8,75.0,80.4,86.3,100.0,100.0,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-07-14,LTM,primary,higher_low,53.51,53.4059,52.8731,53.9387,54.61,54.61,52.77,2.1313,53.614,51.6823,3,3,58.92,53.4059,58.92,70.42,0.402,78.9,100.0,64.9,80.0,46.3,80.2,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;close_above_prev_close;strong_lower_tail_rejection
2026-07-14,FSLY,monitor,breakout_retest,20.9,19.85,19.5059,20.1941,19.84,21.02,19.71,1.3765,19.4248,16.8316,1,1,19.85,15.74,21.02,34.82,0.099,76.7,50.0,87.8,77.4,93.0,100.0,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
