ticker,last_date,last_close,atr14,ema50,ema200,avg_dollar_volume,trend,hh_count,hl_count,last_ph_price,last_pl_price,support_type,support_category,support_price,zone_low,zone_high,pivot_date
MU,2026-05-06,666.59,33.5757,453.7589,319.9942,20781394374.0,none,2,1,471.34,311.49,breakout_retest,monitor,471.34,462.9461,479.7339,2026-03-18
SNDK,2026-05-06,1409.98,80.2361,857.9229,476.0717,16867886295.0,uptrend,2,1,965.0,558.5825,higher_low,primary,558.5825,538.5235,578.6415,2026-03-30
LITE,2026-05-06,944.28,71.9701,779.9015,474.9477,5099994727.0,none,2,2,925.5,780.48,breakout_retest,monitor,925.5,907.5075,943.4925,2026-04-21
FSLY,2026-05-06,31.57,2.7949,24.4915,16.0193,324292828.0,uptrend,2,2,27.35,23.14,higher_low,primary,23.14,22.4413,23.8387,2026-04-27
POET,2026-05-06,9.72,1.5537,7.5256,6.4126,462218982.0,uptrend,1,2,15.5,6.37,higher_low,primary,6.37,5.9816,6.7584,2026-04-29
ICHR,2026-05-06,72.51,5.0326,55.5175,35.9693,64963042.0,uptrend,2,3,72.8707,62.14,higher_low,primary,62.14,60.8818,63.3982,2026-04-28
CRDO,2026-05-06,198.29,12.651,146.5821,130.1148,1245176884.0,uptrend,1,1,198.97,164.8,higher_low,primary,164.8,161.6373,167.9627,2026-04-28
UNFI,2026-05-06,51.81,1.567,45.0929,37.6367,27321189.0,uptrend,3,3,49.8375,46.5,higher_low,primary,46.5,46.1083,46.8917,2026-04-24
DAR,2026-05-06,63.11,2.3089,58.1606,45.6825,177214875.0,uptrend,3,3,64.9,55.83,higher_low,primary,55.83,55.2528,56.4072,2026-04-17
DAN,2026-05-06,35.6,1.3807,34.4965,27.5565,35665424.0,uptrend,2,3,39.56,31.62,higher_low,primary,31.62,31.2748,31.9652,2026-03-30
PBF,2026-05-06,41.59,2.8084,41.6134,34.4796,138175588.0,none,3,2,52.18,36.121,breakout_retest,monitor,38.83,38.1279,39.5321,2026-02-12
SKM,2026-05-06,36.88,1.4185,33.4312,26.9382,74974654.0,uptrend,2,3,40.49,35.84,higher_low,primary,35.84,35.4854,36.1946,2026-04-30
PARR,2026-05-06,62.29,4.2642,58.5986,44.5329,90662082.0,none,1,2,66.78,54.0,breakout_retest,monitor,44.265,43.199,45.331,2026-02-18
PUMP,2026-05-06,15.77,0.9898,14.534,10.8063,77616210.0,uptrend,3,2,18.5,14.9,higher_low,primary,14.9,14.6525,15.1475,2026-04-30
