ticker,last_date,last_close,atr14,ema50,ema200,avg_dollar_volume,trend,hh_count,hl_count,last_ph_price,last_pl_price,support_type,support_category,support_price,zone_low,zone_high,pivot_date
MU,2026-06-03,1079.57,57.0725,667.5356,410.5921,45148050476.0,uptrend,2,2,818.67,652.21,higher_low,primary,652.21,637.9419,666.4781,2026-05-19
SNDK,2026-06-03,1831.5,109.8716,1229.8567,660.1093,19505213220.0,uptrend,2,3,1600.0,1277.33,higher_low,primary,1277.33,1249.8621,1304.7979,2026-05-18
LITE,2026-06-03,938.0,85.8314,861.7121,555.5349,6090727324.0,uptrend,3,3,1085.68,845.0,higher_low,primary,845.0,823.5421,866.4579,2026-05-19
FSLY,2026-06-03,20.83,2.0723,21.108,16.3041,224132645.0,none,2,1,32.7699,15.7,breakout_retest,monitor,20.27,19.7519,20.7881,2026-02-19
POET,2026-06-03,15.38,2.0497,10.988,7.8133,848018813.0,uptrend,2,2,20.81,11.8201,higher_low,primary,11.8201,11.3077,12.3325,2026-05-19
ICHR,2026-06-03,72.45,4.9102,63.8715,42.5184,80215364.0,uptrend,2,3,76.6558,62.17,higher_low,primary,62.17,60.9424,63.3976,2026-05-19
CRDO,2026-06-03,214.6,19.3097,177.4084,144.5686,1559631085.0,none,2,1,210.97,148.9446,breakout_retest,monitor,210.97,206.1426,215.7974,2026-05-11
UNFI,2026-06-03,52.08,1.7222,48.3686,39.7108,27235429.0,uptrend,2,3,52.86,48.1663,higher_low,primary,48.1663,47.7357,48.5969,2026-05-21
MXL,2026-06-03,91.39,10.4445,66.527,34.587,501116210.0,uptrend,1,1,106.28,80.25,higher_low,primary,80.25,77.6389,82.8611,2026-05-15
DAR,2026-06-03,61.55,1.958,59.4791,48.8461,139412232.0,none,2,2,64.99,57.65,breakout_retest,monitor,54.24,53.7505,54.7295,2026-03-02
DAN,2026-06-03,36.55,1.3628,34.6212,28.7679,34473073.0,none,2,2,39.56,31.545,breakout_retest,monitor,34.25,33.9093,34.5907,2026-03-25
PBF,2026-06-03,42.55,2.3662,41.3425,36.2307,116561627.0,none,1,1,43.41,36.61,breakout_retest,monitor,38.83,38.2385,39.4215,2026-02-12
SKM,2026-06-03,45.04,2.0475,36.6331,29.084,112215314.0,none,1,2,39.53,35.67,breakout_retest,monitor,39.53,39.0181,40.0419,2026-05-21
PARR,2026-06-03,57.19,3.2541,58.7491,48.0351,74434554.0,uptrend,1,2,62.31,56.11,higher_low,primary,56.11,55.2965,56.9235,2026-05-06
PUMP,2026-06-03,16.34,0.9169,15.5547,11.8431,91004124.0,uptrend,2,2,18.3747,14.9,higher_low,primary,14.9,14.6708,15.1292,2026-04-30
GPRE,2026-06-03,15.9,0.8052,15.9772,13.041,27545748.0,none,2,1,17.49,14.81,breakout_retest,monitor,15.64,15.4387,15.8413,2026-02-12
INTC,2026-06-03,112.71,8.255,92.7985,58.0103,15891406096.0,uptrend,1,2,132.75,102.4,higher_low,primary,102.4,100.3363,104.4637,2026-05-19
PKX,2026-06-03,68.53,3.1677,71.738,62.8135,24626446.0,none,3,1,92.4,55.31,breakout_retest,monitor,65.49,64.6981,66.2819,2026-01-28
AMD,2026-06-03,542.52,25.924,379.1794,261.8627,17080995559.0,uptrend,1,1,469.215,393.36,higher_low,primary,393.36,386.879,399.841,2026-05-19
LYG,2026-06-03,5.34,0.1273,5.3523,5.1087,97878038.0,none,1,1,5.495,5.03,breakout_retest,monitor,5.19,5.1582,5.2218,2026-03-25
MYRG,2026-06-03,441.35,22.5517,393.1058,289.4474,126907904.0,uptrend,3,3,484.71,422.578,higher_low,primary,422.578,416.9401,428.2159,2026-05-19
NESR,2026-06-03,25.0,1.1188,24.0841,18.5049,49418321.0,uptrend,2,2,27.25,23.065,higher_low,primary,23.065,22.7853,23.3447,2026-05-08
THG,2026-06-03,186.35,4.1374,184.8811,177.7995,56361332.0,uptrend,3,2,199.59,177.04,higher_low,primary,177.04,176.0057,178.0743,2026-04-27
BTSG,2026-06-03,60.88,1.9031,52.2854,40.4204,131150657.0,uptrend,3,2,62.11,40.41,higher_low,primary,40.41,39.9342,40.8858,2026-04-02
NBIS,2026-06-03,251.68,19.9645,178.4729,121.5463,4050908491.0,uptrend,3,3,233.7299,183.0,higher_low,primary,183.0,178.0089,187.9911,2026-05-19
INDV,2026-06-03,35.43,1.4163,35.2974,30.7615,74976784.0,uptrend,1,1,38.58,35.8,higher_low,primary,35.8,35.4459,36.1541,2026-05-19
SSRM,2026-06-03,28.89,1.6821,30.2874,25.3877,92844912.0,uptrend,2,3,36.28,28.6801,higher_low,primary,28.6801,28.2596,29.1006,2026-05-28
SEZL,2026-06-03,113.19,7.4378,92.5844,89.2338,78267180.0,uptrend,2,1,114.14,74.85,higher_low,primary,74.85,72.9906,76.7094,2026-04-30
AROC,2026-06-03,34.21,1.2635,35.9354,31.1666,70522745.0,uptrend,1,2,39.1599,36.0,higher_low,primary,36.0,35.6841,36.3159,2026-05-06
AGRO,2026-06-03,12.19,0.6649,12.8437,10.7499,11392173.0,none,1,2,13.8588,12.29,breakout_retest,monitor,8.815,8.6488,8.9812,2025-12-10
DK,2026-06-03,47.18,2.2821,43.3111,36.9253,52582554.0,none,2,1,47.29,41.11,breakout_retest,monitor,45.74,45.1695,46.3105,2026-03-05
RELY,2026-06-03,19.73,0.8984,20.1009,17.527,143627260.0,none,2,2,24.92,14.99,breakout_retest,monitor,16.55,16.3254,16.7746,2026-03-25
PCG,2026-06-03,16.85,0.4314,16.7469,16.2658,327814981.0,none,1,0,16.75,15.275,breakout_retest,monitor,16.75,16.6422,16.8578,2026-05-26
CNC,2026-06-03,59.55,1.9479,50.9155,41.8422,305357630.0,uptrend,1,1,60.76,56.74,higher_low,primary,56.74,56.253,57.227,2026-05-26
GRDN,2026-06-03,39.14,1.5671,36.9316,31.9895,16347780.0,none,2,2,39.62,32.25,breakout_retest,monitor,38.12,37.7282,38.5118,2026-03-23
IFS,2026-06-03,49.09,1.6252,47.5476,44.7555,14639421.0,uptrend,1,2,50.845,43.16,higher_low,primary,43.16,42.7537,43.5663,2026-05-04
HASI,2026-06-03,40.13,1.0569,39.9522,35.2541,43255764.0,uptrend,1,3,42.105,39.27,higher_low,primary,39.27,39.0058,39.5342,2026-05-19
AMSC,2026-06-03,46.67,4.1259,46.3722,41.2552,68190241.0,none,1,2,55.09,45.4601,breakout_retest,monitor,38.1048,37.0733,39.1363,2026-02-18
BB,2026-06-03,10.18,0.6184,6.1885,4.6784,303303938.0,none,1,0,6.61,3.1201,breakout_retest,monitor,6.61,6.4554,6.7646,2026-05-08
