ticker,last_date,last_close,atr14,ema50,ema200,avg_dollar_volume,trend,hh_count,hl_count,last_ph_price,last_pl_price,support_type,support_category,support_price,zone_low,zone_high,pivot_date
LITE,2026-09-16,919.4,68.5992,863.5744,707.8883,3684979478.0,uptrend,2,2,1026.76,818.89,higher_low,primary,818.89,801.7402,836.0398,2026-09-03
FSLY,2026-09-16,23.54,1.8552,22.7333,19.215,113542430.0,none,1,2,25.36,19.76,breakout_retest,monitor,21.925,21.4612,22.3888,2026-07-17
AUGO,2026-09-16,85.96,4.4049,76.9955,67.2721,91128033.0,uptrend,1,2,89.19,82.22,higher_low,primary,82.22,81.1188,83.3212,2026-09-10
DAR,2026-09-16,65.56,2.501,63.4847,55.1353,175129415.0,uptrend,1,2,68.65,58.96,higher_low,primary,58.96,58.3348,59.5852,2026-08-25
DAN,2026-09-16,29.96,1.0065,29.9958,29.2169,38853977.0,uptrend,3,3,32.3,29.06,higher_low,primary,29.06,28.8084,29.3116,2026-09-01
PBF,2026-09-16,75.93,4.4486,67.0845,50.1259,239569904.0,uptrend,3,3,75.68,63.95,higher_low,primary,63.95,62.8378,65.0622,2026-08-26
SKM,2026-09-16,35.35,1.2753,36.4179,32.3885,61292124.0,uptrend,1,2,38.71,36.31,higher_low,primary,36.31,35.9912,36.6288,2026-09-03
PARR,2026-09-16,84.9,4.5149,76.2601,61.197,66600228.0,uptrend,2,2,83.7199,72.09,higher_low,primary,72.09,70.9613,73.2187,2026-08-20
AMD,2026-09-16,512.5,23.3227,486.5792,391.2973,8619953172.0,none,1,1,526.79,440.5,breakout_retest,monitor,491.12,485.2893,496.9507,2026-08-26
NESR,2026-09-16,31.49,1.5288,31.6009,24.9711,56021461.0,uptrend,1,2,35.47,32.05,higher_low,primary,32.05,31.6678,32.4322,2026-08-21
THG,2026-09-16,231.76,4.5303,221.7457,199.8564,61453751.0,none,2,2,233.28,222.045,breakout_retest,monitor,226.38,225.2474,227.5126,2026-08-17
BTSG,2026-09-16,58.96,2.4697,61.5051,53.3753,132123025.0,uptrend,2,2,63.14,57.68,higher_low,primary,57.68,57.0626,58.2974,2026-09-10
SSRM,2026-09-16,35.22,1.5966,33.424,29.2447,94250423.0,uptrend,2,1,39.44,35.69,higher_low,primary,35.69,35.2909,36.0891,2026-09-01
NWG,2026-09-16,18.62,0.3535,18.3253,17.0147,51357733.0,none,2,2,19.0,18.16,breakout_retest,monitor,18.41,18.3216,18.4984,2026-07-22
AGRO,2026-09-16,11.62,0.4948,10.9549,10.5022,10601828.0,uptrend,3,2,12.79,10.61,higher_low,primary,10.61,10.4863,10.7337,2026-08-27
DK,2026-09-16,79.16,4.1197,66.5798,51.235,140622816.0,uptrend,2,2,77.4,69.14,higher_low,primary,69.14,68.1101,70.1699,2026-09-03
CFG,2026-09-16,66.84,1.6969,70.1644,64.7962,226720741.0,none,2,2,71.18,67.67,breakout_retest,monitor,64.025,63.6008,64.4492,2026-05-26
RELY,2026-09-16,22.15,1.109,23.992,20.5522,91790188.0,uptrend,2,3,27.479,24.3523,higher_low,primary,24.3523,24.075,24.6296,2026-08-20
GRDN,2026-09-16,46.52,1.9007,40.6563,36.9759,21117955.0,none,2,1,47.02,35.9,breakout_retest,monitor,43.4,42.9248,43.8752,2026-07-02
TAL,2026-09-16,11.94,0.3928,11.4356,11.1807,69327999.0,none,2,2,12.53,11.385,breakout_retest,monitor,10.7,10.6018,10.7982,2026-07-15
CDE,2026-09-16,18.98,1.0643,19.045,18.6747,713027324.0,uptrend,1,2,22.45,19.76,higher_low,primary,19.76,19.4939,20.0261,2026-09-01
DAVE,2026-09-16,365.83,21.8085,357.9423,292.8721,121685391.0,none,1,1,394.99,302.165,breakout_retest,monitor,293.9,288.4479,299.3521,2026-06-01
GNK,2026-09-16,27.42,0.9252,26.0499,23.2787,20718693.0,uptrend,2,2,27.8171,25.42,higher_low,primary,25.42,25.1887,25.6513,2026-08-28
TILE,2026-09-16,34.66,1.0924,35.4254,31.8198,17832884.0,uptrend,2,3,40.5,33.66,higher_low,primary,33.66,33.3869,33.9331,2026-09-10
FLYW,2026-09-16,17.8,0.6342,17.7664,15.6528,25220482.0,uptrend,2,2,19.27,16.9,higher_low,primary,16.9,16.7415,17.0585,2026-09-02
SBLK,2026-09-16,30.87,0.9028,29.3437,25.4539,52791776.0,uptrend,3,3,32.88,29.42,higher_low,primary,29.42,29.1943,29.6457,2026-08-26
BCH,2026-09-16,41.1,0.9385,41.1488,39.2245,12343154.0,uptrend,2,3,43.12,40.9,higher_low,primary,40.9,40.6654,41.1346,2026-09-01
LFST,2026-09-16,12.79,0.4932,11.7208,9.0051,55873033.0,uptrend,3,2,13.15,12.38,higher_low,primary,12.38,12.2567,12.5033,2026-09-09
BBVA,2026-09-16,28.1,0.5004,27.749,24.5346,33877705.0,uptrend,3,3,29.64,24.9,higher_low,primary,24.9,24.7749,25.0251,2026-07-17
INCY,2026-09-16,124.75,3.3172,120.7891,107.7561,161061280.0,none,1,3,130.0,121.61,breakout_retest,monitor,119.6,118.7707,120.4293,2026-07-17
EXK,2026-09-16,9.53,0.6009,9.8437,9.4554,97805936.0,uptrend,3,3,11.649,10.13,higher_low,primary,10.13,9.9798,10.2802,2026-09-01
