signal_date,ticker,support_category,support_type,last_close,support_price,zone_low,zone_high,last_open,last_high,last_low,atr14,ema50,ema200,hh_count,hl_count,last_ph_price,last_pl_price,recent_high_20,recent_high_252,lower_tail_ratio,score,score_trend,score_support_quality,score_reaction,score_liquidity,score_room,reasons
2026-07-13,MU,primary,higher_low,937.0,891.66,870.0901,913.2299,929.0,943.5,902.6,86.2797,898.8778,551.4954,3,3,1255.0,891.66,1255.0,1255.0,0.645,91.5,100.0,81.9,80.0,100.0,100.0,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;strong_lower_tail_rejection
2026-07-13,NBIS,primary,higher_low,210.51,200.3,194.1515,206.4485,212.69,219.0,204.7,24.594,216.7647,151.0529,3,3,299.86,200.3,299.86,299.86,0.406,86.8,100.0,79.1,60.0,100.0,100.0,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;strong_lower_tail_rejection
2026-07-13,XYZ,monitor,breakout_retest,78.72,77.6238,76.9208,78.3268,78.065,79.0,77.06,2.8119,72.912,69.4468,3,1,81.04,65.46,81.04,82.25,0.518,85.5,100.0,78.5,100.0,100.0,39.5,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close;strong_lower_tail_rejection
2026-07-13,INDV,primary,higher_low,40.21,39.2,38.8474,39.5526,40.0,40.47,39.25,1.4105,38.2297,33.5464,2,2,42.81,39.2,42.81,42.81,0.615,85.1,100.0,86.7,80.0,75.4,65.9,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;strong_lower_tail_rejection
2026-07-13,FSLY,monitor,breakout_retest,20.03,19.85,19.5046,20.1954,19.67,20.59,19.43,1.3817,19.3646,16.756,1,1,19.85,15.74,20.85,34.82,0.207,66.4,50.0,69.0,85.5,93.8,50.9,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
