ticker,last_date,last_close,atr14,ema50,ema200,avg_dollar_volume,trend,hh_count,hl_count,last_ph_price,last_pl_price,support_type,support_category,support_price,zone_low,zone_high,pivot_date
MU,2026-06-02,1064.1,57.5557,650.7173,403.4084,45021455200.0,uptrend,2,2,818.67,652.21,higher_low,primary,652.21,637.8211,666.5989,2026-05-19
SNDK,2026-06-02,1716.36,106.6217,1205.2997,648.2394,19865648769.0,uptrend,2,3,1600.0,1277.33,higher_low,primary,1277.33,1250.6746,1303.9854,2026-05-18
LITE,2026-06-02,1029.15,83.4315,858.5982,551.6675,6126112995.0,uptrend,3,3,1085.68,845.0,higher_low,primary,845.0,824.1421,865.8579,2026-05-19
FSLY,2026-06-02,20.77,2.0295,21.1193,16.2321,230404289.0,none,2,1,32.7699,15.7,breakout_retest,monitor,20.27,19.7626,20.7774,2026-02-19
POET,2026-06-02,13.82,2.0073,10.8087,7.7521,844071080.0,uptrend,2,2,20.81,11.8201,higher_low,primary,11.8201,11.3183,12.3219,2026-05-19
ICHR,2026-06-02,74.95,4.9641,63.5213,42.0917,86826774.0,uptrend,2,3,76.6558,62.17,higher_low,primary,62.17,60.929,63.411,2026-05-19
CRDO,2026-06-02,229.0,18.4104,175.8903,143.8004,1514941828.0,none,2,1,210.97,148.9446,breakout_retest,monitor,210.97,206.3674,215.5726,2026-05-11
UNFI,2026-06-02,52.31,1.7205,48.2172,39.6284,27028038.0,uptrend,3,3,53.18,48.1663,higher_low,primary,48.1663,47.7362,48.5964,2026-05-21
MXL,2026-06-02,88.76,10.2295,65.5121,33.9557,492262523.0,uptrend,1,1,106.28,80.25,higher_low,primary,80.25,77.6926,82.8074,2026-05-15
DAR,2026-06-02,60.34,1.904,59.3945,48.7317,141574771.0,none,2,2,64.99,57.65,breakout_retest,monitor,54.24,53.764,54.716,2026-03-02
DAN,2026-06-02,36.56,1.3615,34.5425,28.7143,33807980.0,none,2,2,39.56,31.545,breakout_retest,monitor,34.25,33.9096,34.5904,2026-03-25
PBF,2026-06-02,43.17,2.4382,41.2931,36.0506,118044117.0,none,1,1,43.41,36.61,breakout_retest,monitor,38.83,38.2205,39.4395,2026-02-12
SKM,2026-06-02,46.0,2.112,36.2899,28.8919,109748971.0,none,1,2,39.53,35.62,breakout_retest,monitor,39.53,39.002,40.058,2026-05-21
PARR,2026-06-02,57.2,3.3344,58.8127,47.893,77170079.0,uptrend,1,2,62.31,56.11,higher_low,primary,56.11,55.2764,56.9436,2026-05-06
PUMP,2026-06-02,16.38,0.9559,15.5226,11.7498,107515618.0,uptrend,2,2,18.3747,14.9,higher_low,primary,14.9,14.661,15.139,2026-04-30
GPRE,2026-06-02,16.14,0.8172,15.9804,12.9948,27604196.0,none,2,1,17.49,14.81,breakout_retest,monitor,15.64,15.4357,15.8443,2026-02-12
INTC,2026-06-02,107.93,8.093,91.9856,57.2979,16290942352.0,uptrend,1,2,132.75,102.4,higher_low,primary,102.4,100.3767,104.4233,2026-05-19
PKX,2026-06-02,68.94,3.3044,71.8688,62.6855,23530438.0,none,3,1,92.4,55.31,breakout_retest,monitor,65.49,64.6639,66.3161,2026-01-28
AMD,2026-06-02,521.54,26.0028,372.5121,258.7331,17403981143.0,uptrend,1,1,469.215,393.36,higher_low,primary,393.36,386.8593,399.8607,2026-05-19
