signal_date,ticker,support_category,support_type,last_close,support_price,zone_low,zone_high,last_open,last_high,last_low,atr14,ema50,ema200,hh_count,hl_count,last_ph_price,last_pl_price,recent_high_20,recent_high_252,lower_tail_ratio,score,score_trend,score_support_quality,score_reaction,score_liquidity,score_room,reasons
2026-05-06,IFS,primary,higher_low,45.44,44.85,44.428,45.272,45.17,45.7873,44.81,1.6878,47.0488,43.9736,2,2,53.0,44.85,52.915,53.0,0.368,84.0,100.0,77.5,97.6,16.7,89.7,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-05-06,BB,monitor,breakout_retest,5.99,5.79,5.7,5.88,5.56,6.06,5.36,0.36,4.3839,4.0754,2,1,5.79,3.1201,6.24,6.24,0.286,79.2,75.0,82.6,91.5,100.0,51.7,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-05-06,LTM,monitor,breakout_retest,51.85,50.46,49.8927,51.0273,50.47,52.47,49.76,2.2693,51.2177,50.0004,1,2,57.18,45.9701,57.18,70.42,0.262,78.3,75.0,84.1,89.7,47.4,80.4,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
