signal_date,ticker,support_category,support_type,last_close,support_price,zone_low,zone_high,last_open,last_high,last_low,atr14,ema50,ema200,hh_count,hl_count,last_ph_price,last_pl_price,recent_high_20,recent_high_252,lower_tail_ratio,score,score_trend,score_support_quality,score_reaction,score_liquidity,score_room,reasons
2026-08-20,THG,primary,higher_low,223.11,219.24,218.0396,220.4404,218.35,224.26,217.0,4.8015,215.4521,194.5093,3,3,236.065,219.24,236.065,236.065,0.186,85.7,100.0,88.9,84.0,71.6,63.2,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-08-20,LITE,monitor,breakout_retest,879.28,839.88,819.3835,860.3765,830.0,881.88,815.03,81.9862,825.437,670.3536,1,0,897.0,594.84,999.675,1085.68,0.224,67.9,25.0,80.8,86.8,100.0,85.5,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-08-20,GNK,monitor,breakout_retest,26.09,25.96,25.7489,26.1711,26.28,26.33,25.8,0.8442,25.1704,22.8785,2,2,26.7299,24.32,26.8,27.25,0.547,65.7,100.0,70.2,60.0,10.0,34.5,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;strong_lower_tail_rejection
2026-08-20,PDS,monitor,breakout_retest,89.12,88.31,87.5704,89.0496,88.98,90.55,87.6625,2.9585,83.5793,81.0972,0,1,88.31,71.92,90.55,103.8,0.456,61.0,25.0,75.6,100.0,11.3,89.7,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close;strong_lower_tail_rejection
