signal_date,ticker,support_category,support_type,last_close,support_price,zone_low,zone_high,last_open,last_high,last_low,atr14,ema50,ema200,hh_count,hl_count,last_ph_price,last_pl_price,recent_high_20,recent_high_252,lower_tail_ratio,score,score_trend,score_support_quality,score_reaction,score_liquidity,score_room,reasons
2026-05-27,LITE,primary,higher_low,902.31,845.0,825.6307,864.3693,901.55,915.0,858.0,77.4773,848.7697,536.9601,2,2,1085.68,845.0,1085.68,1085.68,0.764,92.1,100.0,87.2,80.0,100.0,95.2,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;strong_lower_tail_rejection
2026-05-27,DK,primary,higher_low,43.04,43.0,42.4007,43.5993,42.15,43.59,41.11,2.3974,42.7712,36.2397,2,2,47.29,43.0,49.5,49.5,0.419,83.8,100.0,63.3,100.0,60.1,79.5,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close;strong_lower_tail_rejection
2026-05-27,GRDN,monitor,breakout_retest,39.12,38.12,37.7183,38.5217,38.7,39.33,37.33,1.6069,36.4804,31.6777,2,2,39.62,32.25,39.33,41.36,0.685,82.0,100.0,84.3,100.0,14.8,62.9,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close;strong_lower_tail_rejection
2026-05-27,PARR,primary,higher_low,56.45,56.11,55.1972,57.0228,55.84,57.02,55.3492,3.6512,59.1702,47.2136,1,2,62.31,56.11,70.39,70.39,0.294,78.0,75.0,67.2,92.0,81.7,80.6,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-05-27,PKX,monitor,breakout_retest,71.39,71.345,70.4843,72.2057,71.77,72.025,69.8329,3.4429,72.1216,61.9436,3,2,92.4,55.31,92.4,92.4,0.71,75.0,100.0,63.2,60.0,22.2,99.7,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;strong_lower_tail_rejection
2026-05-27,CRDO,monitor,breakout_retest,221.23,210.97,206.7671,215.1729,224.13,226.0,210.08,16.8118,166.7743,139.8149,2,1,210.97,148.9446,233.7,233.7,0.7,74.9,75.0,84.0,60.0,100.0,62.5,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;strong_lower_tail_rejection
2026-05-27,BAP,monitor,breakout_retest,348.24,341.07,337.5556,344.5844,351.24,354.41,343.0802,14.0576,329.9516,302.7701,1,1,365.46,300.0,354.41,380.2,0.455,66.3,50.0,81.5,60.0,100.0,59.4,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;strong_lower_tail_rejection
2026-05-27,PCG,monitor,breakout_retest,16.53,16.38,16.2682,16.4918,16.5,16.695,16.33,0.4471,16.8124,16.3048,1,0,16.915,15.275,16.915,19.155,0.466,61.8,25.0,77.1,100.0,100.0,33.3,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close;strong_lower_tail_rejection
