signal_date,ticker,support_category,support_type,last_close,support_price,zone_low,zone_high,last_open,last_high,last_low,atr14,ema50,ema200,hh_count,hl_count,last_ph_price,last_pl_price,recent_high_20,recent_high_252,lower_tail_ratio,score,score_trend,score_support_quality,score_reaction,score_liquidity,score_room,reasons
2026-06-05,PCG,monitor,breakout_retest,17.11,16.75,16.642,16.858,16.86,17.25,16.83,0.4322,16.7638,16.2543,1,1,16.75,16.095,17.25,19.155,0.071,74.9,50.0,89.6,75.3,100.0,82.9,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-06-05,TILE,monitor,breakout_retest,30.14,30.05,29.7976,30.3024,29.87,30.44,29.725,1.0097,28.4596,27.5651,1,2,30.05,27.04,30.44,35.11,0.203,71.5,75.0,67.0,85.2,17.7,89.7,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-06-05,DK,monitor,breakout_retest,48.28,47.29,46.7075,47.8725,47.36,49.21,46.83,2.3301,43.6704,37.4039,2,1,47.29,41.11,49.21,49.5,0.223,70.2,75.0,79.4,86.7,51.8,35.3,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-06-05,AIR,monitor,breakout_retest,116.65,115.46,114.3769,116.5431,114.25,117.81,113.9,4.3325,111.4591,100.0053,1,2,115.46,107.5058,121.53,127.21,0.09,68.8,75.0,75.6,76.8,42.3,51.8,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
