signal_date,ticker,support_category,support_type,last_close,support_price,zone_low,zone_high,last_open,last_high,last_low,atr14,ema50,ema200,hh_count,hl_count,last_ph_price,last_pl_price,recent_high_20,recent_high_252,lower_tail_ratio,score,score_trend,score_support_quality,score_reaction,score_liquidity,score_room,reasons
2026-08-21,BAP,primary,higher_low,378.97,377.45,374.2783,380.6217,375.09,379.83,373.72,12.6868,377.0093,340.2857,3,2,413.245,377.45,413.245,413.245,0.224,85.9,100.0,68.5,86.8,100.0,76.2,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-08-21,GNK,monitor,breakout_retest,26.52,25.96,25.7342,26.1858,26.24,27.76,26.13,0.9032,25.2233,22.8575,2,2,26.7299,24.32,27.76,27.76,0.067,75.7,100.0,84.3,75.0,11.6,56.8,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-08-21,DAR,monitor,breakout_retest,65.74,62.38,61.7332,63.0268,67.81,68.44,60.8475,2.5872,61.5942,53.2083,1,1,62.38,57.76,69.9758,69.9758,0.644,71.9,50.0,100.0,60.0,100.0,65.8,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;strong_lower_tail_rejection
2026-08-21,FLYW,monitor,breakout_retest,19.54,18.92,18.7357,19.1043,18.875,19.59,18.54,0.7371,17.2213,15.139,2,1,18.92,15.6,19.59,19.59,0.319,68.0,75.0,89.8,93.9,37.4,3.8,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-08-21,PDS,monitor,breakout_retest,91.69,88.31,87.5487,89.0713,89.74,92.62,88.4501,3.045,83.8972,81.0443,0,1,88.31,71.92,92.62,103.8,0.309,64.1,25.0,96.5,93.2,11.5,84.8,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-08-21,DK,monitor,breakout_retest,71.47,68.4743,67.5472,69.4014,64.7,72.0,64.405,3.7083,59.5046,46.7404,1,1,68.4743,56.34,72.0,72.0,0.039,62.9,50.0,88.9,72.9,94.6,11.1,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
