ticker,last_date,last_close,atr14,ema50,ema200,avg_dollar_volume,trend,hh_count,hl_count,last_ph_price,last_pl_price,support_type,support_category,support_price,zone_low,zone_high,pivot_date
MU,2026-05-14,776.01,44.5961,518.7689,346.3377,28866286994.0,none,2,1,471.34,311.49,breakout_retest,monitor,471.34,460.191,482.489,2026-03-18
SNDK,2026-05-14,1382.72,98.8997,985.2154,533.3159,19125761195.0,uptrend,2,1,965.0,558.5825,higher_low,primary,558.5825,533.8576,583.3074,2026-03-30
LITE,2026-05-14,1001.81,81.0377,822.9924,504.765,5335987080.0,none,2,2,925.5,780.48,breakout_retest,monitor,925.5,905.2406,945.7594,2026-04-21
FSLY,2026-05-14,17.68,2.9074,23.3295,16.0341,274778760.0,none,2,1,32.7699,20.68,breakout_retest,monitor,12.5906,11.8637,13.3175,2025-12-02
POET,2026-05-14,20.57,2.0763,8.9217,6.8319,779313645.0,uptrend,1,2,15.5,6.37,higher_low,primary,6.37,5.8509,6.8891,2026-04-29
ICHR,2026-05-14,74.51,4.834,59.495,38.0684,70859101.0,uptrend,2,3,72.8707,56.6011,higher_low,primary,56.6011,55.3926,57.8096,2026-05-05
CRDO,2026-05-14,184.54,14.566,156.5187,134.6511,1137675941.0,uptrend,1,1,198.97,164.8,higher_low,primary,164.8,161.1585,168.4415,2026-04-28
AUGO,2026-05-14,79.99,5.5443,83.4204,61.0245,64411659.0,uptrend,2,2,92.8899,78.8,higher_low,primary,78.8,77.4139,80.1861,2026-04-29
UNFI,2026-05-14,51.66,1.7162,46.4849,38.0275,29859034.0,uptrend,3,3,49.8375,46.5,higher_low,primary,46.5,46.0709,46.9291,2026-04-24
DAR,2026-05-14,62.78,2.2443,59.1833,47.4115,173459961.0,uptrend,3,3,66.02,61.09,higher_low,primary,61.09,60.5289,61.6511,2026-05-07
DAN,2026-05-14,34.57,1.2451,34.4545,27.974,35208813.0,uptrend,2,3,39.56,34.33,higher_low,primary,34.33,34.0187,34.6413,2026-05-04
PBF,2026-05-14,40.65,2.6051,41.5484,35.4117,145141200.0,uptrend,2,2,46.46,38.76,higher_low,primary,38.76,38.1087,39.4113,2026-05-07
SKM,2026-05-14,38.68,1.4831,34.5123,27.6492,83733850.0,uptrend,1,3,38.15,35.87,higher_low,primary,35.87,35.4992,36.2408,2026-05-08
PARR,2026-05-14,60.18,3.8556,59.4112,46.198,88741168.0,uptrend,2,2,70.39,56.11,higher_low,primary,56.11,55.1461,57.0739,2026-05-06
PUMP,2026-05-14,16.98,0.9368,14.9075,11.1874,88834402.0,uptrend,3,2,18.5,14.9,higher_low,primary,14.9,14.6658,15.1342,2026-04-30
GPRE,2026-05-14,16.68,0.9298,15.998,12.478,27010784.0,uptrend,3,2,18.94,16.0931,higher_low,primary,16.0931,15.8607,16.3255,2026-05-07
INTC,2026-05-14,115.93,7.4846,77.6168,49.7839,15224122242.0,none,0,0,,,breakout_retest,monitor,70.325,68.4538,72.1962,2026-04-17
PKX,2026-05-14,82.65,3.2976,71.0737,60.2802,19384072.0,none,3,1,92.4,55.31,breakout_retest,monitor,71.345,70.5206,72.1694,2026-02-25
AMD,2026-05-14,449.7,22.8974,306.756,230.3515,17141741721.0,none,2,1,266.96,188.22,breakout_retest,monitor,266.96,261.2357,272.6843,2026-01-23
MYRG,2026-05-14,473.07,19.9684,350.9945,264.882,128671364.0,uptrend,2,3,475.395,258.195,higher_low,primary,258.195,253.2029,263.1871,2026-03-30
NESR,2026-05-14,25.99,1.2953,23.3036,17.5127,44339861.0,none,2,3,25.6393,23.065,breakout_retest,monitor,25.6393,25.3155,25.9631,2026-04-29
THG,2026-05-14,191.87,3.9511,180.6765,176.4079,51148672.0,uptrend,3,2,191.66,177.04,higher_low,primary,177.04,176.0522,178.0278,2026-04-27
BTSG,2026-05-14,58.4,2.0673,47.4457,37.8141,152490770.0,uptrend,3,2,54.68,40.41,higher_low,primary,40.41,39.8932,40.9268,2026-04-02
NBIS,2026-05-14,221.15,16.2942,146.4197,107.5779,2956994539.0,uptrend,2,3,168.71,132.7,higher_low,primary,132.7,128.6264,136.7736,2026-04-28
INDV,2026-05-14,37.83,1.4224,34.5624,29.8167,87544672.0,none,1,1,41.0,27.68,breakout_retest,monitor,35.34,34.9844,35.6956,2026-03-11
SSRM,2026-05-14,34.25,1.8794,30.3662,24.7842,96077083.0,uptrend,3,3,36.515,28.065,higher_low,primary,28.065,27.5951,28.5349,2026-04-29
AROC,2026-05-14,37.22,1.3141,36.0168,30.5844,63436086.0,uptrend,2,2,40.115,36.0,higher_low,primary,36.0,35.6715,36.3285,2026-05-06
AGRO,2026-05-14,13.02,0.8455,12.8945,10.4797,18702286.0,uptrend,1,1,15.25,11.79,higher_low,primary,11.79,11.5786,12.0014,2026-04-17
DK,2026-05-14,43.69,2.3345,42.3433,35.6972,61992782.0,uptrend,3,2,49.5,43.0,higher_low,primary,43.0,42.4164,43.5836,2026-05-07
CFG,2026-05-14,61.18,1.5658,62.561,57.1905,282360014.0,none,1,2,66.0,63.34,breakout_retest,monitor,53.495,53.1036,53.8864,2025-11-12
RELY,2026-05-14,23.31,0.9189,19.6608,17.3151,141214330.0,none,1,2,16.55,14.99,breakout_retest,monitor,16.55,16.3203,16.7797,2026-03-25
AIR,2026-05-14,108.64,4.9663,112.1054,97.5382,44646115.0,uptrend,2,3,121.59,104.86,higher_low,primary,104.86,103.6184,106.1016,2026-04-29
PCG,2026-05-14,16.81,0.4045,16.9916,16.2422,356007717.0,none,2,1,18.92,16.0,breakout_retest,monitor,16.38,16.2789,16.4811,2026-01-02
CNC,2026-05-14,58.7,1.9966,45.336,41.9514,382688417.0,none,1,0,37.05,31.63,breakout_retest,monitor,37.05,36.5508,37.5492,2026-03-19
GRDN,2026-05-14,36.27,1.5932,36.0167,30.9978,14099099.0,none,2,2,39.62,32.25,breakout_retest,monitor,35.15,34.7517,35.5483,2026-03-04
PDS,2026-05-14,94.02,3.4608,91.4913,76.7446,11955093.0,uptrend,2,2,102.45,87.735,higher_low,primary,87.735,86.8698,88.6002,2026-05-07
IFS,2026-05-14,45.11,1.6407,46.5913,44.0863,12900789.0,uptrend,1,2,46.01,43.16,higher_low,primary,43.16,42.7498,43.5702,2026-05-04
HASI,2026-05-14,41.39,1.2097,39.43,34.3949,44073939.0,uptrend,3,2,44.13,34.97,higher_low,primary,34.97,34.6676,35.2724,2026-03-09
CDE,2026-05-14,19.4,1.1725,19.4535,17.8621,350474538.0,none,2,1,21.47,17.0,breakout_retest,monitor,19.24,18.9469,19.5331,2026-03-25
AMSC,2026-05-14,54.7,3.8952,43.4231,38.9696,76358143.0,none,1,1,38.1048,26.46,breakout_retest,monitor,38.1048,37.131,39.0786,2026-02-18
BB,2026-05-14,6.18,0.3655,4.7708,4.215,147414418.0,none,2,1,6.61,3.1201,breakout_retest,monitor,5.085,4.9936,5.1764,2025-10-22
DAVE,2026-05-14,234.49,16.0942,230.7911,213.43,140010377.0,none,2,2,285.39,226.74,breakout_retest,monitor,227.69,223.6665,231.7135,2026-03-10
NTST,2026-05-14,20.55,0.3829,20.1212,18.9507,28299112.0,uptrend,2,3,21.18,19.975,higher_low,primary,19.975,19.8793,20.0707,2026-05-05
TCBI,2026-05-14,97.11,2.685,98.8293,92.7996,46597751.0,uptrend,1,2,103.29,96.345,higher_low,primary,96.345,95.6738,97.0162,2026-04-30
TILE,2026-05-14,28.54,1.0379,27.8787,27.1887,15221778.0,none,2,2,30.34,26.48,breakout_retest,monitor,26.82,26.5605,27.0795,2025-11-12
FLYW,2026-05-14,16.35,0.7594,13.8611,12.9423,35784193.0,none,1,1,18.05,11.16,breakout_retest,monitor,12.775,12.5852,12.9648,2026-03-25
VLY,2026-05-14,13.05,0.34,12.9949,11.7448,82658509.0,uptrend,1,2,13.8,13.22,higher_low,primary,13.22,13.135,13.305,2026-04-30
XYZ,2026-05-14,71.53,2.7755,66.9901,65.8938,403218259.0,uptrend,2,2,77.16,67.8,higher_low,primary,67.8,67.1061,68.4939,2026-04-29
SBLK,2026-05-14,26.68,0.7737,24.6894,21.6717,27395368.0,none,2,2,25.42,23.88,breakout_retest,monitor,25.42,25.2266,25.6134,2026-04-20
KC,2026-05-14,16.94,1.0311,15.2557,13.7441,21862284.0,uptrend,2,2,16.7,14.66,higher_low,primary,14.66,14.4022,14.9178,2026-04-30
ASM,2026-05-14,7.66,0.532,7.117,6.3544,36167238.0,none,1,2,8.055,6.11,breakout_retest,monitor,6.98,6.847,7.113,2025-12-22
LFST,2026-05-14,7.89,0.37,7.1399,6.4347,57791263.0,uptrend,2,2,8.89,7.175,higher_low,primary,7.175,7.0825,7.2675,2026-05-05
ANIP,2026-05-14,79.58,3.0531,79.0672,78.7268,31274301.0,uptrend,3,2,87.76,76.84,higher_low,primary,76.84,76.0767,77.6033,2026-04-24
BBVA,2026-05-14,21.95,0.601,22.1603,21.0007,35490679.0,uptrend,1,2,22.52,20.695,higher_low,primary,20.695,20.5447,20.8453,2026-05-04
EXK,2026-05-14,10.79,0.7448,10.0695,9.1181,83969486.0,none,1,2,10.675,8.4907,breakout_retest,monitor,10.675,10.4888,10.8612,2026-04-17
RSI,2026-05-14,27.17,1.2573,23.8688,20.0619,64928916.0,uptrend,3,3,29.24,26.165,higher_low,primary,26.165,25.8507,26.4793,2026-05-06
