signal_date,ticker,support_category,support_type,last_close,support_price,zone_low,zone_high,last_open,last_high,last_low,atr14,ema50,ema200,hh_count,hl_count,last_ph_price,last_pl_price,recent_high_20,recent_high_252,lower_tail_ratio,score,score_trend,score_support_quality,score_reaction,score_liquidity,score_room,reasons
2026-07-10,SNDK,primary,higher_low,1915.92,1861.0101,1810.2168,1911.8034,1778.984,1946.835,1773.0,203.1733,1667.4281,938.4678,2,3,2354.3899,1861.0101,2354.3899,2354.3899,0.034,87.9,100.0,75.5,72.5,100.0,96.4,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-07-10,HASI,monitor,breakout_retest,37.82,37.34,37.0858,37.5942,37.73,38.1,37.48,1.0168,38.9324,36.0266,1,2,39.93,36.25,39.93,44.13,0.403,76.0,75.0,80.6,100.0,40.1,62.3,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close;strong_lower_tail_rejection
2026-07-10,BAP,monitor,breakout_retest,400.81,399.382,395.9871,402.7769,395.96,402.19,394.1125,13.5796,360.3504,322.6117,2,1,399.382,299.0,402.19,402.19,0.229,67.6,75.0,67.8,87.2,100.0,5.2,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
