ticker,last_date,last_close,atr14,ema50,ema200,avg_dollar_volume,trend,hh_count,hl_count,last_ph_price,last_pl_price,support_type,support_category,support_price,zone_low,zone_high,pivot_date
MU,2026-07-14,983.12,84.2455,902.1815,555.7902,55413891824.0,uptrend,3,3,1255.0,891.66,higher_low,primary,891.66,870.5986,912.7214,2026-07-07
SNDK,2026-07-14,1757.82,202.9745,1671.2193,953.8662,23502963802.0,none,2,2,2354.3899,1485.02,breakout_retest,monitor,1600.0,1549.2564,1650.7436,2026-05-11
FSLY,2026-07-14,20.9,1.3765,19.4248,16.7972,93003794.0,none,1,1,19.85,15.74,breakout_retest,monitor,19.85,19.5059,20.1941,2026-06-12
POET,2026-07-14,8.81,1.1636,10.4297,8.4207,190533317.0,none,1,2,15.08,10.11,breakout_retest,monitor,8.27,7.9791,8.5609,2026-03-12
ICHR,2026-07-14,94.85,9.1028,82.589,53.4819,129677861.0,none,2,2,113.58,81.61,breakout_retest,monitor,76.6558,74.3801,78.9315,2026-05-27
CRDO,2026-07-14,236.18,25.6589,227.2384,172.2148,2344894390.0,uptrend,2,3,280.5,225.6601,higher_low,primary,225.6601,219.2454,232.0748,2026-06-29
UNFI,2026-07-14,49.54,1.9956,48.7139,42.271,35060958.0,uptrend,2,2,53.56,45.01,higher_low,primary,45.01,44.5111,45.5089,2026-07-02
MXL,2026-07-14,92.59,11.4313,83.4506,47.9979,348004263.0,uptrend,2,1,128.3,78.1,higher_low,primary,78.1,75.2422,80.9578,2026-07-08
DAR,2026-07-14,61.83,1.9039,57.9642,50.1716,147151622.0,none,1,1,63.0,50.885,breakout_retest,monitor,54.24,53.764,54.716,2026-03-02
PBF,2026-07-14,60.89,2.7849,44.8701,38.2609,137695882.0,none,1,1,44.665,36.39,breakout_retest,monitor,44.665,43.9688,45.3612,2026-06-08
PARR,2026-07-14,73.55,3.2051,59.0458,50.2453,56572391.0,none,1,1,62.31,48.92,breakout_retest,monitor,62.31,61.5087,63.1113,2026-05-20
GPRE,2026-07-14,17.12,0.7021,15.7317,13.704,21095828.0,none,0,0,15.38,14.0175,breakout_retest,monitor,15.38,15.2045,15.5555,2026-06-22
AMD,2026-07-14,548.13,36.1345,477.4502,327.1276,15730013731.0,uptrend,3,3,584.73,498.15,higher_low,primary,498.15,489.1164,507.1836,2026-07-08
LYG,2026-07-14,5.93,0.1296,5.6217,5.2871,126363321.0,uptrend,2,2,6.18,5.15,higher_low,primary,5.15,5.1176,5.1824,2026-06-10
