signal_date,ticker,support_category,support_type,last_close,support_price,zone_low,zone_high,last_open,last_high,last_low,atr14,ema50,ema200,hh_count,hl_count,last_ph_price,last_pl_price,recent_high_20,recent_high_252,lower_tail_ratio,score,score_trend,score_support_quality,score_reaction,score_liquidity,score_room,reasons
2026-04-29,LITE,primary,higher_low,858.32,800.56,782.9,818.22,821.11,887.9,814.1885,70.64,741.25,449.937,2,2,925.5,800.56,960.0,960.0,0.094,88.4,100.0,89.2,77.0,100.0,71.3,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-04-29,GPRE,monitor,breakout_retest,17.25,16.8,16.5881,17.0119,17.22,17.54,16.77,0.8475,15.2933,11.746,3,2,17.94,14.08,17.54,17.94,0.584,80.2,100.0,82.0,100.0,22.0,50.0,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close;strong_lower_tail_rejection
2026-04-29,DK,monitor,breakout_retest,46.67,45.74,45.1333,46.3467,43.53,47.265,43.19,2.4267,40.3627,34.1097,2,2,48.32,37.02,47.265,48.32,0.083,77.0,100.0,78.3,76.2,54.1,45.4,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
