signal_date,ticker,support_category,support_type,last_close,support_price,zone_low,zone_high,last_open,last_high,last_low,atr14,ema50,ema200,hh_count,hl_count,last_ph_price,last_pl_price,recent_high_20,recent_high_252,lower_tail_ratio,score,score_trend,score_support_quality,score_reaction,score_liquidity,score_room,reasons
2026-06-16,LC,monitor,breakout_retest,19.03,18.4,18.2,18.6,18.6,19.045,18.39,0.7999,16.8152,16.3814,2,2,18.4,16.275,19.045,21.67,0.321,87.0,100.0,88.4,94.1,32.1,85.8,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-06-16,LYG,monitor,breakout_retest,5.56,5.5399,5.5057,5.5741,5.59,5.6,5.53,0.1368,5.3662,5.1441,2,2,5.5399,5.15,5.6,6.34,0.429,86.4,100.0,69.8,80.0,100.0,86.0,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;close_above_prev_close;strong_lower_tail_rejection
2026-06-16,ANIP,monitor,breakout_retest,83.0,82.425,81.817,83.033,82.69,83.25,82.165,2.432,79.8653,79.3492,2,1,83.965,73.54,83.965,99.5,0.484,77.9,75.0,74.3,100.0,26.0,94.8,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close;strong_lower_tail_rejection
