ticker,last_date,last_close,atr14,ema50,ema200,avg_dollar_volume,trend,hh_count,hl_count,last_ph_price,last_pl_price,support_type,support_category,support_price,zone_low,zone_high,pivot_date
MU,2026-06-29,1145.28,97.3185,859.7604,508.281,60892924776.0,uptrend,2,2,1089.29,854.35,higher_low,primary,854.35,830.0204,878.6796,2026-06-09
SNDK,2026-06-29,2050.39,190.8258,1596.2898,861.2117,22104528586.0,uptrend,2,1,2354.3899,1514.36,higher_low,primary,1514.36,1466.6535,1562.0665,2026-06-05
POET,2026-06-29,9.85,1.6406,11.2436,8.4598,383507123.0,none,1,2,15.08,10.11,breakout_retest,monitor,8.27,7.8599,8.6801,2026-03-12
ICHR,2026-06-29,105.46,7.6872,75.5861,49.0446,109624704.0,uptrend,2,3,101.65,62.44,higher_low,primary,62.44,60.5182,64.3618,2026-06-05
CRDO,2026-06-29,245.68,26.3514,214.4539,163.2096,2897448265.0,uptrend,3,2,308.6699,200.0,higher_low,primary,200.0,193.4122,206.5878,2026-06-04
UNFI,2026-06-29,46.19,2.3754,49.3156,41.7063,44472418.0,none,2,2,53.56,40.4,breakout_retest,monitor,42.65,42.0561,43.2439,2026-03-16
MXL,2026-06-29,108.47,10.225,77.2398,42.851,366117226.0,none,1,0,98.9899,67.77,breakout_retest,monitor,98.9899,96.4336,101.5462,2026-06-22
PBF,2026-06-29,46.43,2.4822,41.2739,36.7787,109817453.0,none,1,1,44.665,36.39,breakout_retest,monitor,44.665,44.0444,45.2856,2026-06-08
SKM,2026-06-29,32.34,1.9785,36.2922,30.2513,128844046.0,uptrend,1,2,47.1794,35.67,higher_low,primary,35.67,35.1754,36.1646,2026-05-28
PARR,2026-06-29,56.67,2.7473,56.3166,48.8231,47105647.0,uptrend,1,2,62.31,56.11,higher_low,primary,56.11,55.4232,56.7968,2026-05-06
INTC,2026-06-29,131.72,10.2239,108.1533,67.7038,15921999027.0,none,1,0,141.45,98.33,breakout_retest,monitor,126.64,124.084,129.196,2026-05-29
AMD,2026-06-29,539.49,34.1068,446.1962,304.6717,16354104858.0,uptrend,3,2,562.9899,437.23,higher_low,primary,437.23,428.7033,445.7567,2026-06-09
LYG,2026-06-29,5.75,0.1319,5.4508,5.202,161956214.0,none,2,2,5.5399,5.15,breakout_retest,monitor,5.5399,5.5069,5.5729,2026-05-29
MYRG,2026-06-29,501.13,24.8209,425.2761,315.8935,144317493.0,none,3,2,484.71,402.46,breakout_retest,monitor,484.71,478.5048,490.9152,2026-05-28
NESR,2026-06-29,28.49,1.3769,24.8266,19.5619,64052497.0,uptrend,3,3,27.69,23.56,higher_low,primary,23.56,23.2158,23.9042,2026-06-18
THG,2026-06-29,214.54,4.5069,193.1548,182.1896,68546262.0,uptrend,2,2,199.59,184.695,higher_low,primary,184.695,183.5683,185.8217,2026-06-01
BTSG,2026-06-29,68.98,2.1048,58.4846,43.9575,268268375.0,uptrend,3,3,62.11,56.2,higher_low,primary,56.2,55.6738,56.7262,2026-06-05
NBIS,2026-06-29,261.15,25.4695,215.3057,142.491,4446872469.0,uptrend,3,3,299.86,200.3,higher_low,primary,200.3,193.9326,206.6674,2026-06-09
INDV,2026-06-29,41.26,1.438,37.2284,32.6498,78198590.0,none,1,1,38.58,32.41,breakout_retest,monitor,38.58,38.2205,38.9395,2026-05-26
NWG,2026-06-29,17.45,0.4116,16.2581,15.8708,100111973.0,uptrend,2,3,17.62,15.54,higher_low,primary,15.54,15.4371,15.6429,2026-06-10
SEZL,2026-06-29,170.7,10.0561,119.2889,97.4246,94331971.0,none,1,2,74.79,56.71,breakout_retest,monitor,74.79,72.276,77.304,2026-04-08
AROC,2026-06-29,40.45,1.4051,36.7447,32.0067,88734712.0,none,1,2,37.29,35.055,breakout_retest,monitor,37.29,36.9387,37.6413,2026-06-12
BAP,2026-06-29,384.74,15.3291,349.0606,315.8129,223992902.0,none,2,1,398.515,299.0,breakout_retest,monitor,354.41,350.5777,358.2423,2026-05-27
DK,2026-06-29,51.58,2.5138,44.6466,38.0794,54317470.0,none,2,1,50.325,40.89,breakout_retest,monitor,50.325,49.6965,50.9535,2026-06-08
CFG,2026-06-29,70.43,1.4382,64.9766,59.8415,309919575.0,uptrend,1,2,68.75,60.275,higher_low,primary,60.275,59.9155,60.6345,2026-06-01
RELY,2026-06-29,22.79,0.9117,20.2388,17.7319,99288829.0,uptrend,2,2,24.92,17.7,higher_low,primary,17.7,17.4721,17.9279,2026-06-11
AIR,2026-06-29,141.85,5.1666,120.6782,104.146,65837478.0,none,1,2,115.46,107.5058,breakout_retest,monitor,115.46,114.1684,116.7516,2026-05-28
PCG,2026-06-29,17.24,0.3772,16.7954,16.4948,325252388.0,none,1,2,17.25,16.35,breakout_retest,monitor,16.75,16.6557,16.8443,2026-05-26
CNC,2026-06-29,64.54,2.2164,57.1924,44.6572,364965627.0,uptrend,2,2,66.55,59.9,higher_low,primary,59.9,59.3459,60.4541,2026-06-17
GRDN,2026-06-29,40.44,1.9384,39.0955,33.3934,18910012.0,none,2,2,44.0,32.25,breakout_retest,monitor,39.62,39.1354,40.1046,2026-04-27
ASTE,2026-06-29,60.85,2.3315,54.4027,51.2817,12203530.0,uptrend,2,2,54.17,49.29,higher_low,primary,49.29,48.7071,49.8729,2026-06-11
IFS,2026-06-29,56.3,1.9879,51.0052,46.1527,21392942.0,uptrend,2,2,58.16,45.29,higher_low,primary,45.29,44.793,45.787,2026-06-08
HASI,2026-06-29,38.95,1.0958,39.2815,35.6515,48667706.0,none,1,2,42.105,36.25,breakout_retest,monitor,37.34,37.0661,37.6139,2026-03-25
BB,2026-06-29,12.48,0.8761,7.8597,5.3924,443459379.0,uptrend,1,2,9.69,8.21,higher_low,primary,8.21,7.991,8.429,2026-06-18
DAVE,2026-06-29,371.62,24.1577,272.9344,235.0134,196176727.0,uptrend,2,3,293.9,242.01,higher_low,primary,242.01,235.9706,248.0494,2026-06-03
NTST,2026-06-29,21.39,0.5354,20.1813,19.4798,59211519.0,none,0,1,20.65,18.96,breakout_retest,monitor,20.65,20.5161,20.7839,2026-06-10
TCBI,2026-06-29,102.72,2.4357,100.0613,95.134,60691261.0,none,1,2,102.99,98.59,breakout_retest,monitor,101.88,101.2711,102.4889,2026-05-26
TILE,2026-06-29,35.68,1.0867,30.4199,28.6708,21368684.0,none,1,3,30.05,28.17,breakout_retest,monitor,30.05,29.7783,30.3217,2026-05-27
FLYW,2026-06-29,17.6,0.7484,15.1524,13.5781,41249756.0,none,1,1,17.025,13.74,breakout_retest,monitor,17.025,16.8379,17.2121,2026-06-01
VLY,2026-06-29,14.65,0.3253,13.7448,12.3877,101732774.0,uptrend,2,2,14.72,13.67,higher_low,primary,13.67,13.5887,13.7513,2026-06-18
XYZ,2026-06-29,78.02,2.94,70.867,68.6007,458345053.0,none,3,1,77.6238,65.46,breakout_retest,monitor,77.6238,76.8888,78.3588,2026-06-01
CYD,2026-06-29,46.2,3.1518,49.0779,42.2973,11772102.0,uptrend,2,2,61.4778,47.15,higher_low,primary,47.15,46.3621,47.9379,2026-06-10
SBLK,2026-06-29,24.64,0.8464,25.9466,23.1222,34718612.0,uptrend,3,3,28.5,25.9,higher_low,primary,25.9,25.6884,26.1116,2026-05-19
LFST,2026-06-29,10.34,0.3566,8.1264,6.8251,32961624.0,uptrend,2,3,7.98,7.29,higher_low,primary,7.29,7.2009,7.3791,2026-06-08
LUV,2026-06-29,51.6,1.8681,44.0211,40.1812,326889174.0,none,2,3,44.44,40.815,breakout_retest,monitor,44.44,43.973,44.907,2026-05-27
ANIP,2026-06-29,84.115,2.5555,80.5629,79.4493,27270787.0,none,2,1,83.965,78.375,breakout_retest,monitor,83.965,83.3261,84.6039,2026-06-10
BBVA,2026-06-29,24.71,0.5389,23.1276,21.8229,43145281.0,uptrend,2,3,25.1,22.005,higher_low,primary,22.005,21.8703,22.1397,2026-06-10
INCY,2026-06-29,114.66,4.0823,100.9761,96.0836,233656428.0,uptrend,2,2,110.34,96.09,higher_low,primary,96.09,95.0694,97.1106,2026-06-18
LC,2026-06-18,19.21,0.8527,16.9846,16.7419,36662953.0,none,2,2,18.4,16.275,breakout_retest,monitor,18.4,18.1868,18.6132,2026-06-01
RSI,2026-06-29,31.32,1.2367,27.0838,22.7076,97607775.0,uptrend,2,2,30.96,27.82,higher_low,primary,27.82,27.5108,28.1292,2026-06-18
LTM,2026-06-29,58.7,2.1171,52.4807,50.9592,43445592.0,uptrend,2,3,57.55,53.4059,higher_low,primary,53.4059,52.8766,53.9352,2026-06-23
