signal_date,ticker,support_category,support_type,last_close,support_price,zone_low,zone_high,last_open,last_high,last_low,atr14,ema50,ema200,hh_count,hl_count,last_ph_price,last_pl_price,recent_high_20,recent_high_252,lower_tail_ratio,score,score_trend,score_support_quality,score_reaction,score_liquidity,score_room,reasons
2026-09-09,XYZ,monitor,breakout_retest,79.4,77.6238,76.9005,78.3471,78.9,80.27,77.75,2.8931,79.6375,73.1474,3,2,86.92,76.96,86.92,86.92,0.456,88.7,100.0,84.1,80.0,100.0,77.9,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;strong_lower_tail_rejection
2026-09-09,FSLY,primary,higher_low,22.71,22.3,21.8249,22.7751,22.69,24.59,22.085,1.9003,22.5114,18.9726,1,3,25.36,22.3,30.69,34.82,0.242,88.3,100.0,73.3,88.2,100.0,82.5,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-09-09,MU,monitor,breakout_retest,1027.77,1011.77,998.3333,1025.2067,998.805,1042.4,992.29,53.7469,928.3483,683.8478,2,1,1036.13,887.605,1042.4,1255.0,0.13,81.9,75.0,76.2,79.8,100.0,96.1,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
