signal_date,ticker,support_category,support_type,last_close,support_price,zone_low,zone_high,last_open,last_high,last_low,atr14,ema50,ema200,hh_count,hl_count,last_ph_price,last_pl_price,recent_high_20,recent_high_252,lower_tail_ratio,score,score_trend,score_support_quality,score_reaction,score_liquidity,score_room,reasons
2026-06-24,XYZ,monitor,breakout_retest,75.68,75.23,74.469,75.991,73.0,77.13,73.0,3.0441,70.1243,68.4734,3,1,77.6238,65.46,77.6238,82.5,0.0,76.8,100.0,69.9,70.0,100.0,35.7,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-06-24,TCBI,monitor,breakout_retest,103.07,102.99,102.4116,103.5684,101.5,103.25,100.895,2.3136,99.6582,95.1673,1,2,102.99,98.59,103.25,108.92,0.257,71.5,75.0,64.2,89.3,57.0,62.7,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-06-24,ANIP,monitor,breakout_retest,82.72,82.425,81.7668,83.0832,83.39,83.945,80.585,2.633,80.1274,79.0909,2,1,83.965,73.54,83.965,99.5,0.635,68.3,75.0,68.1,60.0,25.3,95.1,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;strong_lower_tail_rejection
