ticker,last_date,last_close,atr14,ema50,ema200,avg_dollar_volume,trend,hh_count,hl_count,last_ph_price,last_pl_price,support_type,support_category,support_price,zone_low,zone_high,pivot_date
MU,2026-09-23,1071.88,49.8425,951.6409,715.9074,24806673331.0,none,2,2,1042.4,902.6,breakout_retest,monitor,1042.4,1029.9394,1054.8606,2026-09-09
SNDK,2026-09-23,1816.57,116.5028,1589.9743,1192.3261,17756512346.0,none,1,2,1807.38,1504.2,breakout_retest,monitor,1807.38,1778.2543,1836.5057,2026-09-08
LITE,2026-09-23,937.0,64.0555,876.19,724.6004,4084563922.0,uptrend,2,3,1026.76,832.11,higher_low,primary,832.11,816.0961,848.1239,2026-09-15
FSLY,2026-09-23,29.65,2.6084,23.4009,19.5585,179455864.0,none,2,2,30.69,19.76,breakout_retest,monitor,22.05,21.3979,22.7021,2026-06-02
AUGO,2026-09-23,85.34,4.8199,79.1397,68.041,96535744.0,uptrend,2,2,93.49,78.59,higher_low,primary,78.59,77.385,79.795,2026-09-01
DAR,2026-09-23,61.36,2.6049,63.4892,55.7796,159671110.0,uptrend,1,2,68.65,58.96,higher_low,primary,58.96,58.3088,59.6112,2026-08-25
DAN,2026-09-23,29.7,0.9806,30.0026,29.4533,42928166.0,uptrend,3,3,32.3,29.39,higher_low,primary,29.39,29.1449,29.6351,2026-09-16
PBF,2026-09-23,70.47,4.5977,68.2653,51.7427,289289462.0,uptrend,3,3,82.61,69.03,higher_low,primary,69.03,67.8806,70.1794,2026-09-15
PARR,2026-09-23,76.97,4.5359,77.2274,62.6101,79070919.0,none,2,2,86.97,79.52,breakout_retest,monitor,70.39,69.256,71.524,2026-05-05
INTC,2026-09-23,122.6,6.2803,101.9069,84.3944,10711048015.0,none,1,2,106.69,94.5233,breakout_retest,monitor,106.69,105.1199,108.2601,2026-09-09
AMD,2026-09-23,614.61,25.1157,505.943,404.5652,11063211418.0,none,1,1,526.79,480.33,breakout_retest,monitor,526.79,520.5111,533.0689,2026-09-09
NESR,2026-09-23,32.81,1.3889,31.7974,25.6167,54758601.0,none,1,1,35.47,30.75,breakout_retest,monitor,29.295,28.9478,29.6422,2026-07-22
BTSG,2026-09-23,55.78,2.2661,60.5614,53.6311,151239608.0,uptrend,2,2,63.14,57.68,higher_low,primary,57.68,57.1135,58.2465,2026-09-10
SSRM,2026-09-23,36.3,1.5994,34.0278,29.6,90410312.0,none,2,1,39.44,34.15,breakout_retest,monitor,28.74,28.3401,29.1399,2026-07-22
DK,2026-09-23,72.26,4.3721,68.2412,52.7043,185890372.0,uptrend,2,2,77.4,69.14,higher_low,primary,69.14,68.047,70.233,2026-09-03
AIR,2026-09-23,119.46,5.0374,128.5123,118.0648,46497781.0,none,1,1,130.92,122.02,breakout_retest,monitor,115.46,114.2007,116.7193,2026-05-28
GRDN,2026-09-23,43.26,1.8229,41.3341,37.394,29938301.0,none,2,1,48.33,35.9,breakout_retest,monitor,39.62,39.1643,40.0757,2026-04-27
TAL,2026-09-23,11.98,0.3594,11.5091,11.1877,63369275.0,none,1,2,12.09,11.385,breakout_retest,monitor,10.7,10.6102,10.7898,2026-07-15
CDE,2026-09-23,19.32,1.0671,19.1834,18.6564,691373246.0,uptrend,1,2,22.45,18.48,higher_low,primary,18.48,18.2132,18.7468,2026-09-16
DAVE,2026-09-23,326.19,22.1359,355.5225,297.946,124402228.0,none,1,1,394.99,302.165,breakout_retest,monitor,293.9,288.366,299.434,2026-06-01
GNK,2026-09-23,26.44,0.8976,26.2903,23.5595,18434799.0,uptrend,3,2,28.42,26.07,higher_low,primary,26.07,25.8456,26.2944,2026-09-14
TILE,2026-09-23,34.94,1.0631,35.2805,31.8274,19623395.0,uptrend,2,3,40.5,33.66,higher_low,primary,33.66,33.3942,33.9258,2026-09-10
FLYW,2026-09-23,16.86,0.607,17.6718,15.7293,23916345.0,uptrend,2,2,19.27,16.9,higher_low,primary,16.9,16.7483,17.0517,2026-09-02
SBLK,2026-09-23,30.4,0.9463,29.7212,25.8532,53786762.0,uptrend,3,3,32.88,30.35,higher_low,primary,30.35,30.1134,30.5866,2026-09-14
BCH,2026-09-23,41.8,0.9459,41.2305,39.4756,11944154.0,none,2,2,43.12,40.2525,breakout_retest,monitor,41.46,41.2235,41.6965,2026-07-15
LFST,2026-09-23,12.08,0.4878,11.8597,9.1615,72334494.0,uptrend,3,2,13.56,12.38,higher_low,primary,12.38,12.2581,12.5019,2026-09-09
BBVA,2026-09-23,28.09,0.5483,27.8965,24.7963,33426759.0,uptrend,3,3,29.64,27.935,higher_low,primary,27.935,27.7979,28.0721,2026-09-16
INCY,2026-09-23,124.64,3.4034,121.697,108.8449,182275006.0,none,1,2,130.0,119.97,breakout_retest,monitor,118.97,118.1191,119.8209,2026-07-09
