ticker,last_date,last_close,atr14,ema50,ema200,avg_dollar_volume,trend,hh_count,hl_count,last_ph_price,last_pl_price,support_type,support_category,support_price,zone_low,zone_high,pivot_date
MU,2026-07-06,984.75,93.0779,885.516,530.6202,60960628809.0,uptrend,3,3,1255.0,854.35,higher_low,primary,854.35,831.0805,877.6195,2026-06-09
SNDK,2026-07-06,1744.43,204.527,1647.045,903.8577,23369091411.0,uptrend,2,3,2354.3899,1861.0101,higher_low,primary,1861.0101,1809.8783,1912.1419,2026-06-24
POET,2026-07-06,8.95,1.4428,10.9706,8.4685,284937005.0,none,1,2,15.08,10.11,breakout_retest,monitor,8.27,7.9093,8.6307,2026-03-12
ICHR,2026-07-06,95.67,8.8625,79.8122,50.8078,125009661.0,uptrend,2,3,101.65,86.58,higher_low,primary,86.58,84.3644,88.7956,2026-06-24
CRDO,2026-07-06,265.55,28.2579,221.1081,167.3828,2801099603.0,uptrend,3,3,308.6699,225.6601,higher_low,primary,225.6601,218.5956,232.7246,2026-06-29
AUGO,2026-07-06,67.73,4.4857,69.7405,62.7421,76255590.0,none,0,1,65.895,56.945,breakout_retest,monitor,65.895,64.7736,67.0164,2026-06-26
DAR,2026-07-06,57.89,1.9092,57.2056,49.3854,136698529.0,none,1,1,63.0,50.885,breakout_retest,monitor,54.24,53.7627,54.7173,2026-03-02
PBF,2026-07-06,49.26,2.4537,42.2258,37.0653,115336688.0,none,1,1,44.665,36.39,breakout_retest,monitor,44.665,44.0516,45.2784,2026-06-08
SKM,2026-07-06,31.67,1.7866,35.6382,30.3189,100305494.0,uptrend,1,2,47.1794,35.67,higher_low,primary,35.67,35.2234,36.1166,2026-05-28
PARR,2026-07-06,60.74,2.7549,56.6533,48.8703,47850747.0,none,1,1,62.31,48.92,breakout_retest,monitor,44.265,43.5763,44.9537,2026-02-18
GPRE,2026-07-06,15.75,0.7087,15.453,13.5715,21683670.0,none,0,0,15.38,14.0175,breakout_retest,monitor,15.38,15.2028,15.5572,2026-06-22
AMD,2026-07-06,552.05,37.21,461.1586,313.7597,16656997448.0,uptrend,3,3,562.9899,495.35,higher_low,primary,495.35,486.0475,504.6525,2026-06-29
LYG,2026-07-06,6.17,0.136,5.5314,5.2374,166375923.0,none,2,2,5.5399,5.15,breakout_retest,monitor,5.5399,5.5059,5.5739,2026-05-29
MYRG,2026-07-06,442.72,26.6673,430.2336,321.0715,156411867.0,none,2,2,484.71,402.46,breakout_retest,monitor,241.1255,234.4587,247.7923,2025-11-05
NESR,2026-07-06,27.63,1.5041,25.3737,19.953,70814822.0,uptrend,2,3,27.69,23.56,higher_low,primary,23.56,23.184,23.936,2026-06-18
THG,2026-07-06,220.19,4.7276,196.8706,183.3881,70386160.0,uptrend,2,2,199.59,184.695,higher_low,primary,184.695,183.5131,185.8769,2026-06-01
BTSG,2026-07-06,70.56,2.1735,60.1585,45.1021,261422335.0,uptrend,3,3,62.11,56.2,higher_low,primary,56.2,55.6566,56.7434,2026-06-05
NBIS,2026-07-06,213.02,27.2094,217.8488,147.6978,4593361016.0,uptrend,3,3,299.86,200.3,higher_low,primary,200.3,193.4977,207.1023,2026-06-09
INDV,2026-07-06,39.99,1.4234,37.6753,33.057,76402874.0,none,2,1,42.81,32.41,breakout_retest,monitor,38.58,38.2242,38.9358,2026-05-26
SSRM,2026-07-06,30.64,1.7614,29.5151,26.3595,108567086.0,none,1,2,33.835,24.395,breakout_retest,monitor,28.81,28.3697,29.2503,2026-01-29
NWG,2026-07-06,18.37,0.3996,16.5166,15.9864,102880855.0,uptrend,2,3,17.62,15.54,higher_low,primary,15.54,15.4401,15.6399,2026-06-10
