ticker,last_date,last_close,atr14,ema50,ema200,avg_dollar_volume,trend,hh_count,hl_count,last_ph_price,last_pl_price,support_type,support_category,support_price,zone_low,zone_high,pivot_date
MU,2026-05-11,795.33,41.6225,485.1779,332.6356,25102808849.0,none,2,1,471.34,311.49,breakout_retest,monitor,471.34,460.9344,481.7456,2026-03-18
SNDK,2026-05-11,1547.56,92.4415,928.9582,505.8092,18570027183.0,uptrend,2,1,965.0,558.5825,higher_low,primary,558.5825,535.4721,581.6929,2026-03-30
LITE,2026-05-11,1053.09,79.8258,799.3624,489.3415,5308922956.0,none,2,2,925.5,780.48,breakout_retest,monitor,925.5,905.5435,945.4565,2026-04-21
POET,2026-05-11,13.9,1.715,7.979,6.5546,563885953.0,uptrend,1,2,15.5,6.37,higher_low,primary,6.37,5.9413,6.7987,2026-04-29
ICHR,2026-05-11,76.95,4.9136,57.639,37.1168,71414094.0,uptrend,2,3,72.8707,56.6011,higher_low,primary,56.6011,55.3727,57.8295,2026-05-05
CRDO,2026-05-11,210.22,13.8,152.1675,132.3856,1281860454.0,uptrend,1,1,198.97,164.8,higher_low,primary,164.8,161.35,168.25,2026-04-28
AUGO,2026-05-11,81.06,5.8159,83.7366,60.4169,73361077.0,uptrend,2,2,110.321,78.8,higher_low,primary,78.8,77.346,80.254,2026-04-29
UNFI,2026-05-11,52.27,1.6717,45.8271,37.6123,28227306.0,uptrend,3,3,49.8375,46.5,higher_low,primary,46.5,46.0821,46.9179,2026-04-24
DAR,2026-05-11,63.82,2.28,58.7183,46.3613,178664759.0,uptrend,3,3,66.02,55.83,higher_low,primary,55.83,55.26,56.4,2026-04-17
DAN,2026-05-11,33.86,1.3378,34.4815,27.7625,35669066.0,uptrend,2,3,39.56,34.33,higher_low,primary,34.33,33.9956,34.6644,2026-05-04
PBF,2026-05-11,42.52,2.8517,41.578,34.8625,146998117.0,none,2,2,46.46,36.121,breakout_retest,monitor,38.83,38.1171,39.5429,2026-02-12
SKM,2026-05-11,39.1,1.4904,33.9246,27.2928,78708125.0,uptrend,1,3,38.15,35.84,higher_low,primary,35.84,35.4674,36.2126,2026-04-30
PARR,2026-05-11,64.5,4.0812,59.1799,45.3628,89743028.0,none,2,2,70.39,54.0,breakout_retest,monitor,44.265,43.2447,45.2853,2026-02-18
PUMP,2026-05-11,16.65,0.9603,14.697,10.9765,84237679.0,uptrend,3,2,18.5,14.9,higher_low,primary,14.9,14.6599,15.1401,2026-04-30
GPRE,2026-05-11,17.15,1.0245,15.9018,12.2325,26970820.0,none,3,2,18.94,14.08,breakout_retest,monitor,16.8,16.5439,17.0561,2026-03-18
INTC,2026-05-11,129.44,6.8905,72.3551,47.6744,13829978938.0,none,0,0,,,breakout_retest,monitor,70.325,68.6024,72.0476,2026-04-17
PKX,2026-05-11,88.61,3.0347,69.6096,59.8575,16417852.0,none,2,1,63.94,55.31,breakout_retest,monitor,63.94,63.1813,64.6987,2026-04-09
AMD,2026-05-11,458.79,22.2866,288.7635,222.8365,16551052754.0,none,1,1,266.96,188.22,breakout_retest,monitor,266.96,261.3884,272.5316,2026-01-23
LYG,2026-05-11,5.36,0.1483,5.3591,5.0799,93777166.0,none,1,1,5.75,5.12,breakout_retest,monitor,5.19,5.1529,5.2271,2026-03-25
MYRG,2026-05-11,458.42,20.113,336.3711,258.601,125146706.0,uptrend,2,3,288.56,258.195,higher_low,primary,258.195,253.1668,263.2232,2026-03-30
NESR,2026-05-11,25.43,1.2816,22.8966,17.2179,44023286.0,none,2,3,25.6393,20.572,breakout_retest,monitor,22.7789,22.4585,23.0993,2026-03-25
THG,2026-05-11,189.89,4.0198,179.4519,176.4509,50756360.0,uptrend,3,2,191.66,177.04,higher_low,primary,177.04,176.035,178.045,2026-04-27
BTSG,2026-05-11,55.07,2.0499,46.248,37.261,141822567.0,uptrend,3,2,54.68,40.41,higher_low,primary,40.41,39.8975,40.9225,2026-04-02
NBIS,2026-05-11,186.1,13.7582,139.1963,104.8829,2532696513.0,uptrend,2,3,168.71,132.7,higher_low,primary,132.7,129.2605,136.1395,2026-04-28
INDV,2026-05-11,38.84,1.5664,34.1052,29.5798,84690716.0,none,0,1,33.62,27.68,breakout_retest,monitor,33.62,33.2284,34.0116,2026-04-15
SSRM,2026-05-11,34.74,1.9087,29.7888,24.4318,93611833.0,uptrend,3,3,36.515,28.065,higher_low,primary,28.065,27.5878,28.5422,2026-04-29
AROC,2026-05-11,36.71,1.35,35.8808,30.3965,58675677.0,uptrend,2,2,40.115,34.9,higher_low,primary,34.9,34.5625,35.2375,2026-04-17
AGRO,2026-05-11,13.49,0.8085,12.8497,10.3769,18844899.0,uptrend,1,1,15.25,11.79,higher_low,primary,11.79,11.5879,11.9921,2026-04-17
DK,2026-05-11,46.82,2.3975,42.0657,35.1629,60237271.0,none,3,2,49.5,37.02,breakout_retest,monitor,45.74,45.1406,46.3394,2026-03-05
CFG,2026-05-11,62.16,1.5719,62.7376,57.143,306529781.0,uptrend,2,2,66.85,63.34,higher_low,primary,63.34,62.947,63.733,2026-05-04
RELY,2026-05-11,24.28,0.9282,19.1543,17.0464,102444678.0,none,1,2,16.55,14.99,breakout_retest,monitor,16.55,16.318,16.782,2026-03-25
AIR,2026-05-11,117.57,4.6381,112.48,97.2959,42910438.0,uptrend,3,3,127.21,104.86,higher_low,primary,104.86,103.7005,106.0195,2026-04-29
CNC,2026-05-11,56.36,1.9606,43.6024,41.4822,344705296.0,none,1,0,37.05,31.63,breakout_retest,monitor,37.05,36.5598,37.5402,2026-03-19
GRDN,2026-05-11,35.65,1.6648,36.0654,30.9174,14178802.0,uptrend,2,2,39.62,35.56,higher_low,primary,35.56,35.1438,35.9762,2026-04-23
PDS,2026-05-11,92.06,3.794,91.2489,76.0739,12163471.0,none,2,2,102.45,82.18,breakout_retest,monitor,60.01,59.0615,60.9585,2025-09-23
ASTE,2026-05-11,52.81,2.9542,56.999,51.0167,13498502.0,uptrend,2,2,65.69,56.7,higher_low,primary,56.7,55.9614,57.4386,2026-04-21
IFS,2026-05-11,44.44,1.6434,46.7782,44.1455,14673172.0,uptrend,2,2,53.0,43.16,higher_low,primary,43.16,42.7492,43.5708,2026-05-04
HASI,2026-05-11,40.98,1.259,39.2293,34.3553,41682550.0,uptrend,3,2,40.01,34.97,higher_low,primary,34.97,34.6553,35.2847,2026-03-09
CDE,2026-05-11,19.8,1.1955,19.4144,17.803,356691731.0,none,2,1,21.47,17.0,breakout_retest,monitor,19.24,18.9411,19.5389,2026-03-25
AMSC,2026-05-11,58.72,3.7414,41.9491,38.4147,72891712.0,none,1,1,38.1048,26.46,breakout_retest,monitor,38.1048,37.1695,39.0401,2026-02-18
BB,2026-05-11,6.22,0.3715,4.5929,4.1441,138769731.0,none,2,1,5.79,3.1201,breakout_retest,monitor,5.79,5.6971,5.8829,2026-04-22
DAVE,2026-05-11,249.42,16.7366,229.7694,216.1476,152840816.0,uptrend,2,3,285.39,253.7,higher_low,primary,253.7,249.5159,257.8841,2026-04-29
NTST,2026-05-11,20.7,0.4047,20.063,18.8967,29693153.0,uptrend,2,3,21.18,19.975,higher_low,primary,19.975,19.8738,20.0762,2026-05-05
TCBI,2026-05-11,98.1,2.7365,99.0825,92.8605,45334181.0,none,1,2,106.82,96.345,breakout_retest,monitor,96.21,95.5259,96.8941,2026-03-25
TILE,2026-05-11,28.7,1.0225,27.8465,27.2472,15599861.0,uptrend,1,2,28.95,26.48,higher_low,primary,26.48,26.2244,26.7356,2026-05-04
FLYW,2026-05-11,16.46,0.7493,13.5531,12.8407,35496163.0,none,1,1,12.775,11.16,breakout_retest,monitor,12.775,12.5877,12.9623,2026-03-25
VLY,2026-05-11,13.27,0.3506,12.9856,11.7559,81592421.0,uptrend,2,2,14.12,13.22,higher_low,primary,13.22,13.1323,13.3077,2026-04-30
XYZ,2026-05-11,73.17,2.8544,66.4615,65.788,386653397.0,uptrend,2,2,75.23,67.8,higher_low,primary,67.8,67.0864,68.5136,2026-04-29
SBLK,2026-05-11,26.74,0.7448,24.4082,21.5337,25958835.0,none,2,2,25.42,23.88,breakout_retest,monitor,25.42,25.2338,25.6062,2026-04-20
KC,2026-05-11,16.35,0.7612,15.066,13.779,19434906.0,uptrend,2,2,18.38,14.66,higher_low,primary,14.66,14.4697,14.8503,2026-04-30
