signal_date,ticker,support_category,support_type,last_close,support_price,zone_low,zone_high,last_open,last_high,last_low,atr14,ema50,ema200,hh_count,hl_count,last_ph_price,last_pl_price,recent_high_20,recent_high_252,lower_tail_ratio,score,score_trend,score_support_quality,score_reaction,score_liquidity,score_room,reasons
2026-09-15,LITE,primary,higher_low,838.96,818.89,802.3233,835.4567,842.705,855.9999,832.11,66.2668,861.2958,705.7626,2,2,1026.76,818.89,1026.76,1085.68,0.287,87.8,100.0,76.3,71.5,100.0,96.2,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;close_above_prev_close
2026-09-15,INCY,monitor,breakout_retest,121.74,119.6,118.7738,120.4262,121.58,122.19,119.97,3.3046,120.6274,107.5853,1,3,130.0,121.61,130.8,132.6,0.725,87.3,100.0,84.9,80.0,100.0,67.1,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;strong_lower_tail_rejection
2026-09-15,BCH,primary,higher_low,41.45,40.9,40.6681,41.1319,41.36,41.68,41.1,0.9276,41.1508,39.2056,2,3,43.12,40.9,43.14,46.77,0.448,79.7,100.0,83.6,100.0,12.3,50.3,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close;strong_lower_tail_rejection
2026-09-15,CDE,primary,higher_low,19.91,19.76,19.5094,20.0106,19.975,20.14,19.38,1.0023,19.0476,18.6716,1,2,22.45,19.76,22.45,27.77,0.697,78.6,75.0,70.0,80.0,100.0,84.1,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;close_above_prev_close;strong_lower_tail_rejection
2026-09-15,NWG,monitor,breakout_retest,18.62,18.41,18.3254,18.4946,18.77,18.775,18.395,0.3384,18.3133,16.9986,2,2,19.0,18.16,19.0,19.42,0.592,76.6,100.0,84.3,80.0,49.4,30.4,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;close_above_prev_close;strong_lower_tail_rejection
2026-09-15,BBVA,primary,higher_low,28.83,28.59,28.4725,28.7075,28.9,28.955,28.5801,0.47,27.7346,24.4987,3,3,29.64,28.59,29.64,29.64,0.667,71.4,100.0,81.5,60.0,32.8,38.1,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;strong_lower_tail_rejection
