signal_date,ticker,support_category,support_type,last_close,support_price,zone_low,zone_high,last_open,last_high,last_low,atr14,ema50,ema200,hh_count,hl_count,last_ph_price,last_pl_price,recent_high_20,recent_high_252,lower_tail_ratio,score,score_trend,score_support_quality,score_reaction,score_liquidity,score_room,reasons
2026-08-07,PBF,primary,higher_low,61.71,57.9499,56.9214,58.9784,60.48,63.43,58.8805,4.1141,54.7419,42.8827,2,2,74.74,57.9499,74.74,74.74,0.352,96.5,100.0,91.6,96.4,100.0,95.6,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-08-07,BTSG,monitor,breakout_retest,62.43,62.11,61.2461,62.9739,61.94,63.4,61.17,3.4557,64.752,50.6324,3,2,73.7499,57.95,73.7499,73.7499,0.345,89.8,100.0,67.1,95.9,100.0,92.2,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-08-07,FSLY,monitor,breakout_retest,22.96,21.925,21.4908,22.3592,23.12,24.468,22.33,1.7368,20.6593,17.7591,1,2,21.925,18.93,27.23,34.82,0.295,81.8,75.0,83.6,72.1,100.0,92.9,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;close_above_prev_close
2026-08-07,CRDO,monitor,breakout_retest,249.89,241.14,235.3939,246.8861,241.14,250.0,231.2501,22.9845,222.3144,184.0574,1,1,241.14,177.0,252.81,308.6699,0.527,79.1,50.0,78.3,100.0,100.0,96.8,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close;strong_lower_tail_rejection
2026-08-07,CNC,monitor,breakout_retest,65.77,64.95,64.2368,65.6632,64.07,66.5199,63.945,2.8528,62.5118,50.3181,2,1,64.95,56.67,69.355,69.355,0.049,75.5,75.0,75.9,73.7,100.0,61.8,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-08-07,IFS,monitor,breakout_retest,58.94,58.16,57.7176,58.6024,59.1,59.265,57.915,1.7694,56.3735,49.7627,2,2,60.8,56.35,61.38,61.38,0.759,69.5,100.0,79.8,60.0,13.7,41.6,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;strong_lower_tail_rejection
2026-08-07,INDV,monitor,breakout_retest,38.82,38.58,38.1691,38.9909,38.83,38.91,38.08,1.6436,38.9343,34.5702,1,1,41.65,38.56,41.8438,42.81,0.892,67.6,50.0,69.8,80.0,87.8,69.2,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;close_above_prev_close;strong_lower_tail_rejection
2026-08-07,GRDN,monitor,breakout_retest,43.83,43.2686,42.7453,43.7919,43.15,47.02,42.065,2.0932,40.2139,36.0324,1,1,43.2686,37.03,47.02,47.02,0.219,62.8,50.0,75.5,86.4,12.9,69.1,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
