signal_date,ticker,support_category,support_type,last_close,support_price,zone_low,zone_high,last_open,last_high,last_low,atr14,ema50,ema200,hh_count,hl_count,last_ph_price,last_pl_price,recent_high_20,recent_high_252,lower_tail_ratio,score,score_trend,score_support_quality,score_reaction,score_liquidity,score_room,reasons
2026-09-03,VLY,monitor,breakout_retest,13.9,13.8,13.7243,13.8757,13.88,14.0,13.8032,0.3028,14.2574,13.2211,2,2,15.15,14.01,15.15,15.2,0.39,88.8,100.0,77.0,99.2,82.5,76.0,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-09-03,THG,monitor,breakout_retest,231.68,230.155,229.1088,231.2012,229.27,232.0,226.93,4.1848,219.3766,197.7488,2,2,230.155,217.0,232.0,236.065,0.462,79.7,100.0,77.9,100.0,59.4,28.4,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close;strong_lower_tail_rejection
2026-09-03,DK,monitor,breakout_retest,72.4,72.0,70.9763,73.0237,72.21,72.48,69.14,4.0948,63.0819,48.8386,2,1,72.0,56.34,77.4,77.4,0.919,79.5,75.0,67.4,100.0,100.0,67.6,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close;strong_lower_tail_rejection
2026-09-03,GRDN,monitor,breakout_retest,40.13,39.62,39.206,40.034,39.41,40.15,38.0443,1.6558,39.1763,35.8493,2,1,47.02,37.03,47.02,47.02,0.649,76.9,75.0,76.4,100.0,16.4,90.8,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close;strong_lower_tail_rejection
2026-09-03,RELY,monitor,breakout_retest,26.92,26.8217,26.5305,27.1129,27.025,27.479,25.91,1.1649,24.3531,20.1495,2,3,26.8217,24.3523,27.479,27.479,0.644,76.1,100.0,66.7,80.0,88.4,30.8,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;close_above_prev_close;strong_lower_tail_rejection
2026-09-03,CNC,monitor,breakout_retest,68.02,67.68,67.133,68.227,67.5,68.83,66.85,2.1879,64.1739,53.2466,1,2,67.68,63.47,68.83,69.355,0.328,73.4,75.0,70.3,94.6,100.0,29.4,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-09-03,AGRO,monitor,breakout_retest,11.6,11.5452,11.4174,11.673,11.74,11.838,11.28,0.5112,10.5927,10.3793,2,2,11.5452,10.61,12.08,15.89,0.573,67.7,100.0,67.9,60.0,10.1,51.4,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;strong_lower_tail_rejection
