signal_date,ticker,support_category,support_type,last_close,support_price,zone_low,zone_high,last_open,last_high,last_low,atr14,ema50,ema200,hh_count,hl_count,last_ph_price,last_pl_price,recent_high_20,recent_high_252,lower_tail_ratio,score,score_trend,score_support_quality,score_reaction,score_liquidity,score_room,reasons
2026-06-18,NESR,primary,higher_low,24.54,23.41,23.0689,23.7511,24.5,24.79,23.56,1.3642,24.3464,19.2016,2,3,27.25,23.41,27.69,27.69,0.764,89.5,100.0,89.5,100.0,49.4,81.6,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close;strong_lower_tail_rejection
2026-06-18,RSI,monitor,breakout_retest,29.09,28.29,27.9996,28.5804,28.22,29.47,27.82,1.1616,26.1421,21.7481,2,2,28.29,24.66,30.96,30.96,0.242,87.4,100.0,86.0,88.2,83.9,65.7,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-06-18,SKM,primary,higher_low,36.21,35.67,35.119,36.221,35.44,36.29,34.82,2.2038,37.1629,30.0127,1,2,47.1794,35.67,47.1794,47.1794,0.422,86.2,75.0,74.8,100.0,100.0,100.0,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close;strong_lower_tail_rejection
2026-06-18,VLY,monitor,breakout_retest,14.09,13.8,13.7126,13.8874,13.775,14.14,13.67,0.3497,13.5199,12.2708,1,2,13.8,12.765,14.72,14.72,0.223,79.6,75.0,89.5,86.7,92.1,54.7,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-06-18,INTC,monitor,breakout_retest,133.99,126.64,124.1752,129.1048,131.805,135.48,127.9,9.8591,101.4729,63.7976,0,1,126.64,98.33,135.48,135.48,0.515,61.8,25.0,87.4,100.0,100.0,16.7,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close;strong_lower_tail_rejection
