signal_date,ticker,support_category,support_type,last_close,support_price,zone_low,zone_high,last_open,last_high,last_low,atr14,ema50,ema200,hh_count,hl_count,last_ph_price,last_pl_price,recent_high_20,recent_high_252,lower_tail_ratio,score,score_trend,score_support_quality,score_reaction,score_liquidity,score_room,reasons
2026-06-26,GRDN,monitor,breakout_retest,42.31,39.62,39.1604,40.0796,39.18,42.31,38.15,1.8383,39.0406,33.3226,2,2,44.0,32.25,44.0,44.0,0.248,82.1,100.0,100.0,88.6,19.0,49.9,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-06-26,PCG,monitor,breakout_retest,17.38,17.25,17.1533,17.3467,17.19,17.41,17.145,0.3866,16.7773,16.4874,1,2,17.25,16.35,17.41,19.155,0.17,80.4,75.0,77.2,82.8,100.0,80.3,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-06-26,XYZ,monitor,breakout_retest,77.82,77.6238,76.8665,78.3811,74.25,77.82,74.2,3.0292,70.5751,68.506,3,1,77.6238,65.46,77.82,82.5,0.014,80.3,100.0,65.7,71.0,100.0,64.1,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-06-26,SSRM,monitor,breakout_retest,29.38,28.81,28.3657,29.2543,28.8,29.805,28.77,1.7772,29.5393,25.8861,1,2,33.835,24.395,33.835,36.515,0.029,79.3,75.0,76.8,72.2,100.0,87.7,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-06-26,ANIP,monitor,breakout_retest,84.5,83.965,83.311,84.619,83.75,85.435,83.495,2.6159,80.4179,79.4024,2,1,83.965,78.375,85.435,99.5,0.131,73.2,75.0,72.7,79.8,27.6,91.6,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-06-26,DK,monitor,breakout_retest,47.82,47.29,46.7032,47.8768,46.63,47.87,46.47,2.3472,44.3636,37.9437,2,1,50.325,40.89,50.325,50.325,0.114,71.1,75.0,73.8,78.5,53.3,61.0,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
