signal_date,ticker,support_category,support_type,last_close,support_price,zone_low,zone_high,last_open,last_high,last_low,atr14,ema50,ema200,hh_count,hl_count,last_ph_price,last_pl_price,recent_high_20,recent_high_252,lower_tail_ratio,score,score_trend,score_support_quality,score_reaction,score_liquidity,score_room,reasons
2026-09-11,FSLY,monitor,breakout_retest,23.16,21.925,21.4662,22.3838,22.7,23.38,21.9,1.8351,22.5443,19.087,1,2,25.36,19.76,30.48,34.82,0.541,85.6,75.0,85.6,100.0,100.0,78.0,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close;strong_lower_tail_rejection
2026-09-11,THG,monitor,breakout_retest,225.84,225.285,224.1809,226.3891,224.75,226.43,222.69,4.4166,220.4461,198.5134,2,2,233.28,217.0,233.28,236.065,0.551,79.6,100.0,68.8,100.0,60.1,42.9,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close;strong_lower_tail_rejection
2026-09-11,SSRM,primary,higher_low,36.24,35.69,35.2887,36.0913,36.8,37.4195,35.96,1.6052,33.2111,29.2749,2,1,39.44,35.69,39.44,39.44,0.192,75.0,75.0,77.3,64.4,89.8,75.3,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;close_above_prev_close
