signal_date,ticker,support_category,support_type,last_close,support_price,zone_low,zone_high,last_open,last_high,last_low,atr14,ema50,ema200,hh_count,hl_count,last_ph_price,last_pl_price,recent_high_20,recent_high_252,lower_tail_ratio,score,score_trend,score_support_quality,score_reaction,score_liquidity,score_room,reasons
2026-05-12,AUGO,primary,higher_low,83.72,78.8,77.3509,80.2491,80.33,85.11,79.57,5.7962,83.7359,60.6487,2,2,110.321,78.8,110.321,110.321,0.137,90.4,100.0,90.0,80.3,68.8,100.0,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-05-12,AROC,primary,higher_low,37.23,36.0,35.6598,36.3402,36.54,37.5,36.0,1.3607,35.9336,30.4287,2,2,40.115,36.0,40.115,40.115,0.36,88.8,100.0,91.3,97.0,59.3,71.0,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-05-12,EXK,monitor,breakout_retest,11.46,10.675,10.4845,10.8655,10.83,11.505,10.56,0.7621,9.9895,9.0639,1,2,10.675,8.4907,11.505,15.15,0.286,87.6,75.0,94.5,91.5,81.8,100.0,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-05-12,LFST,monitor,breakout_retest,7.93,7.77,7.675,7.865,7.66,7.945,7.615,0.38,7.0689,6.4166,2,2,7.77,7.175,8.89,8.89,0.136,83.7,100.0,79.3,80.2,54.1,83.2,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-05-12,BB,monitor,breakout_retest,6.22,5.79,5.6975,5.8825,6.12,6.23,5.88,0.37,4.6567,4.1802,2,1,5.79,3.1201,6.61,6.61,0.686,82.7,75.0,97.8,80.0,100.0,65.1,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;strong_lower_tail_rejection
2026-05-12,CDE,monitor,breakout_retest,20.17,19.24,18.9333,19.5467,19.33,20.395,18.76,1.2269,19.444,17.8193,2,1,21.47,17.0,21.13,27.77,0.349,82.3,75.0,87.7,96.2,100.0,57.6,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-05-12,ANIP,monitor,breakout_retest,79.5,77.47,76.705,78.235,79.31,80.24,77.71,3.06,78.9716,78.7936,2,2,82.425,76.84,87.76,99.5,0.632,81.5,100.0,85.3,100.0,31.0,46.8,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close;strong_lower_tail_rejection
2026-05-12,PDS,monitor,breakout_retest,93.18,92.4,91.4712,93.3288,92.15,93.58,90.89,3.7151,91.3247,76.3124,2,2,102.45,82.18,102.45,103.8,0.468,81.4,100.0,73.0,100.0,12.3,79.8,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close;strong_lower_tail_rejection
2026-05-12,PCG,monitor,breakout_retest,16.81,16.38,16.2751,16.4849,16.205,16.915,16.2,0.4196,17.0153,16.238,2,1,18.92,16.0,17.555,19.155,0.007,78.3,75.0,94.4,70.5,100.0,54.3,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-05-12,NESR,monitor,breakout_retest,26.84,25.6393,25.2995,25.9791,25.35,26.985,24.62,1.359,23.0513,17.3075,2,3,25.6393,20.572,26.985,26.985,0.309,77.0,100.0,90.8,93.2,44.2,8.1,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-05-12,LC,primary,higher_low,16.28,16.045,15.8665,16.2235,16.46,16.49,16.12,0.7142,16.2663,15.9793,1,2,17.485,16.045,18.88,21.67,0.432,68.9,75.0,77.0,60.0,47.6,69.6,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;strong_lower_tail_rejection
2026-05-12,LYG,monitor,breakout_retest,5.21,5.19,5.1514,5.2286,5.15,5.23,5.125,0.1545,5.3532,5.0813,1,1,5.75,5.12,5.75,6.34,0.238,67.3,50.0,69.0,67.8,93.7,80.5,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body
