signal_date,ticker,support_category,support_type,last_close,support_price,zone_low,zone_high,last_open,last_high,last_low,atr14,ema50,ema200,hh_count,hl_count,last_ph_price,last_pl_price,recent_high_20,recent_high_252,lower_tail_ratio,score,score_trend,score_support_quality,score_reaction,score_liquidity,score_room,reasons
2026-06-09,CRDO,monitor,breakout_retest,234.32,210.97,205.387,216.553,226.74,252.7,209.55,22.332,183.7931,148.4645,3,1,245.9499,148.9446,252.7,252.7,0.398,92.6,100.0,94.9,99.8,100.0,59.6,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-06-09,TILE,monitor,breakout_retest,31.35,30.05,29.7885,30.3115,30.67,31.61,30.0,1.0459,28.6498,27.5754,1,3,30.05,28.17,31.61,35.11,0.416,89.1,100.0,99.8,100.0,16.6,83.0,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close;strong_lower_tail_rejection
2026-06-09,LUV,monitor,breakout_retest,43.17,42.3899,42.0072,42.7726,41.94,43.23,41.015,1.5307,41.0146,39.9056,2,3,44.44,40.815,44.44,55.11,0.418,86.3,100.0,81.5,100.0,100.0,39.4,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close;strong_lower_tail_rejection
2026-06-09,MYRG,primary,higher_low,423.44,422.578,416.6155,428.5405,446.7,446.7,405.0,23.8501,399.8749,295.5969,3,3,484.71,422.578,484.71,484.71,0.442,81.1,100.0,64.3,60.0,100.0,86.7,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;strong_lower_tail_rejection
2026-06-09,LYG,monitor,breakout_retest,5.34,5.19,5.1565,5.2235,5.41,5.42,5.2101,0.1339,5.3514,5.1139,2,1,5.5399,5.03,5.5399,6.34,0.619,79.8,75.0,96.7,80.0,100.0,47.4,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;close_above_prev_close;strong_lower_tail_rejection
2026-06-09,AIR,monitor,breakout_retest,120.13,115.46,114.3234,116.5966,116.44,120.565,113.54,4.5462,111.9218,100.2024,1,2,115.46,107.5058,120.565,127.21,0.413,79.8,75.0,94.4,100.0,41.4,63.6,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close;strong_lower_tail_rejection
2026-06-09,LC,monitor,breakout_retest,17.64,17.485,17.2905,17.6795,17.27,18.03,16.97,0.7782,16.5021,16.2092,2,2,18.4,16.275,18.4,21.67,0.283,77.3,100.0,72.5,91.2,29.9,53.1,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-06-09,VLY,monitor,breakout_retest,14.11,13.8,13.7212,13.8788,13.96,14.23,13.77,0.315,13.2898,12.097,1,2,13.8,12.765,14.23,14.23,0.413,75.3,75.0,93.3,100.0,75.6,12.8,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close;strong_lower_tail_rejection
2026-06-09,BBVA,monitor,breakout_retest,22.53,22.52,22.3784,22.6616,22.83,22.84,22.1,0.5663,22.4268,21.2445,2,3,23.665,21.51,23.665,26.2,0.581,74.3,100.0,63.4,80.0,34.1,60.2,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;close_above_prev_close;strong_lower_tail_rejection
2026-06-09,INTC,primary,higher_low,107.92,102.4,100.0964,104.7036,112.99,113.998,99.46,9.2146,94.9406,59.8743,1,1,126.64,102.4,127.79,132.75,0.582,71.6,50.0,83.7,60.0,100.0,91.0,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;strong_lower_tail_rejection
2026-06-09,BAP,monitor,breakout_retest,349.61,341.07,337.056,345.084,341.695,366.22,339.09,16.0561,331.3506,305.4335,1,1,354.41,300.0,366.22,380.2,0.096,69.6,50.0,82.0,77.2,100.0,57.5,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-06-09,NWG,monitor,breakout_retest,16.05,15.95,15.852,16.048,16.29,16.325,15.705,0.3919,15.8136,15.6336,1,2,16.2466,14.91,16.325,19.355,0.556,65.9,75.0,75.1,80.0,58.3,18.4,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;close_above_prev_close;strong_lower_tail_rejection
2026-06-09,INCY,monitor,breakout_retest,103.23,103.01,102.1923,103.8277,102.16,104.2291,101.51,3.2709,97.5371,93.6422,1,1,103.01,92.18,106.37,112.29,0.239,65.1,50.0,65.9,87.9,100.0,40.4,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-06-09,PCG,monitor,breakout_retest,16.58,16.38,16.2681,16.4919,16.55,16.79,16.42,0.4475,16.7459,16.2169,1,0,16.915,15.275,17.25,19.155,0.351,61.3,25.0,79.9,96.3,100.0,30.2,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
