signal_date,ticker,support_category,support_type,last_close,support_price,zone_low,zone_high,last_open,last_high,last_low,atr14,ema50,ema200,hh_count,hl_count,last_ph_price,last_pl_price,recent_high_20,recent_high_252,lower_tail_ratio,score,score_trend,score_support_quality,score_reaction,score_liquidity,score_room,reasons
2026-07-31,BB,primary,higher_low,8.5,8.21,8.0372,8.3828,8.7,8.81,8.352,0.6914,8.8935,6.3182,2,2,13.59,8.21,12.075,13.59,0.323,89.7,100.0,79.2,74.2,100.0,100.0,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;close_above_prev_close
2026-07-31,NESR,primary,higher_low,26.96,26.21,25.8311,26.5889,27.1,27.42,26.07,1.5156,26.467,21.5346,2,3,29.98,26.21,29.98,30.31,0.659,83.7,100.0,81.1,80.0,51.0,81.8,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;close_above_prev_close;strong_lower_tail_rejection
2026-07-31,ICHR,monitor,breakout_retest,75.27,72.8707,70.4993,75.2421,80.8,83.18,75.17,9.4857,82.1896,56.8449,2,2,98.57,77.32,105.8675,113.58,0.012,82.4,100.0,75.1,50.9,84.3,100.0,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;close_above_prev_close
2026-07-31,FSLY,monitor,breakout_retest,22.66,21.925,21.5677,22.2823,21.73,22.81,21.275,1.4293,19.9394,17.3075,1,1,21.925,15.74,22.81,34.82,0.296,78.6,50.0,81.6,92.2,97.8,100.0,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-07-31,UNFI,monitor,breakout_retest,50.83,49.8375,49.3708,50.3042,49.54,50.94,49.08,1.8666,49.1136,43.3807,1,2,50.9099,47.9501,51.6,57.02,0.247,75.6,75.0,82.0,88.5,23.8,83.3,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-07-31,IFS,primary,higher_low,58.31,57.0001,56.5407,57.4595,58.59,58.985,57.41,1.8376,55.7523,49.1759,2,3,60.8,57.0001,61.38,61.38,0.571,72.8,100.0,86.6,60.0,12.9,52.7,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;strong_lower_tail_rejection
2026-07-31,INDV,monitor,breakout_retest,40.01,38.58,38.2391,38.9209,39.96,40.305,38.63,1.3637,39.1284,34.5593,1,1,41.8438,38.56,41.8438,42.81,0.794,69.3,50.0,95.0,80.0,61.9,55.8,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;strong_lower_tail_rejection
2026-07-31,NTST,primary,higher_low,21.45,21.15,21.023,21.277,21.47,21.57,21.27,0.508,21.1137,19.858,2,1,22.47,21.15,22.47,22.47,0.6,67.1,75.0,83.5,60.0,31.0,57.6,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;strong_lower_tail_rejection
