ticker,last_date,last_close,atr14,ema50,ema200,avg_dollar_volume,trend,hh_count,hl_count,last_ph_price,last_pl_price,support_type,support_category,support_price,zone_low,zone_high,pivot_date
MU,2026-07-09,991.64,90.3356,893.976,543.4631,58163262794.0,uptrend,3,3,1255.0,854.35,higher_low,primary,854.35,831.7661,876.9339,2026-06-09
SNDK,2026-07-09,1858.27,205.4301,1657.2857,928.7654,23784971243.0,uptrend,2,3,2354.3899,1861.0101,higher_low,primary,1861.0101,1809.6526,1912.3676,2026-06-24
FSLY,2026-07-09,20.33,1.3917,19.3271,16.6762,92251858.0,none,1,1,19.85,15.74,breakout_retest,monitor,19.85,19.5021,20.1979,2026-06-12
POET,2026-07-09,8.7,1.3015,10.6911,8.4252,225753901.0,none,1,2,15.08,10.11,breakout_retest,monitor,8.27,7.9446,8.5954,2026-03-12
ICHR,2026-07-09,96.44,9.278,80.9918,52.2466,133474112.0,uptrend,2,3,113.58,86.58,higher_low,primary,86.58,84.2605,88.8995,2026-06-24
CRDO,2026-07-09,265.65,27.507,225.1863,169.8917,2618098368.0,uptrend,3,3,308.6699,225.6601,higher_low,primary,225.6601,218.7833,232.5369,2026-06-29
UNFI,2026-07-09,47.94,2.0587,48.6597,42.0398,36619790.0,uptrend,2,2,53.56,45.01,higher_low,primary,45.01,44.4953,45.5247,2026-07-02
DAR,2026-07-09,60.19,1.9506,57.5036,49.8152,144860402.0,none,1,1,63.0,50.885,breakout_retest,monitor,54.24,53.7523,54.7277,2026-03-02
PBF,2026-07-09,53.31,2.5151,43.2885,37.5773,126533765.0,none,1,1,44.665,36.39,breakout_retest,monitor,44.665,44.0362,45.2938,2026-06-08
SKM,2026-07-09,32.78,1.6587,35.235,30.3648,89980483.0,uptrend,1,2,47.1794,35.67,higher_low,primary,35.67,35.2553,36.0847,2026-05-28
PARR,2026-07-09,65.54,3.1305,57.6249,49.4538,52646474.0,none,1,1,62.31,48.92,breakout_retest,monitor,62.31,61.5274,63.0926,2026-05-20
GPRE,2026-07-09,16.63,0.7275,15.556,13.6352,21300549.0,none,0,0,15.38,14.0175,breakout_retest,monitor,15.38,15.1981,15.5619,2026-06-22
AMD,2026-07-09,546.72,37.4602,468.6234,320.9468,16149346116.0,uptrend,3,3,584.73,495.35,higher_low,primary,495.35,485.9849,504.7151,2026-06-29
LYG,2026-07-09,5.97,0.1366,5.5813,5.2725,154369638.0,none,2,2,5.5399,5.15,breakout_retest,monitor,5.5399,5.5057,5.5741,2026-05-29
MYRG,2026-07-09,430.91,26.399,429.4621,323.7999,152136888.0,none,3,2,503.565,402.46,breakout_retest,monitor,241.1255,234.5258,247.7252,2025-11-05
NESR,2026-07-09,27.88,1.5613,25.6276,20.1936,75799694.0,uptrend,3,3,30.31,23.56,higher_low,primary,23.56,23.1697,23.9503,2026-06-18
THG,2026-07-09,214.34,5.0481,198.9165,184.5561,74403465.0,uptrend,2,2,199.59,184.695,higher_low,primary,184.695,183.433,185.957,2026-06-01
BTSG,2026-07-09,71.58,2.1361,61.3587,46.0577,241080541.0,uptrend,3,3,62.11,56.2,higher_low,primary,56.2,55.666,56.734,2026-06-05
NBIS,2026-07-09,216.2,25.974,216.9121,149.3289,4466077190.0,uptrend,3,3,299.86,200.3,higher_low,primary,200.3,193.8065,206.7935,2026-06-09
INDV,2026-07-09,41.3,1.4322,38.0529,33.3825,77914234.0,none,2,1,42.81,32.41,breakout_retest,monitor,38.58,38.2219,38.9381,2026-05-26
SSRM,2026-07-09,29.15,1.7748,29.4656,26.4928,110530385.0,none,1,2,33.835,27.24,breakout_retest,monitor,28.81,28.3663,29.2537,2026-01-29
NWG,2026-07-09,17.76,0.4088,16.6562,16.1183,99897798.0,uptrend,2,3,17.62,15.54,higher_low,primary,15.54,15.4378,15.6422,2026-06-10
SEZL,2026-07-09,177.08,10.4685,133.095,96.2019,111855369.0,none,1,2,74.79,56.71,breakout_retest,monitor,74.79,72.1729,77.4071,2026-04-08
AROC,2026-07-09,38.51,1.6187,37.1441,32.5525,93387431.0,none,2,1,42.23,32.595,breakout_retest,monitor,37.725,37.3203,38.1297,2026-03-24
