ticker,last_date,last_close,atr14,ema50,ema200,avg_dollar_volume,trend,hh_count,hl_count,last_ph_price,last_pl_price,support_type,support_category,support_price,zone_low,zone_high,pivot_date
MU,2026-09-18,1015.8,49.2569,936.4158,704.2864,23895044561.0,none,2,2,1042.4,902.6,breakout_retest,monitor,1011.77,999.4558,1024.0842,2026-07-23
SNDK,2026-09-18,1791.82,116.5724,1560.1217,1171.1227,17233081992.0,none,1,1,1807.38,1416.56,breakout_retest,monitor,1696.37,1667.2269,1725.5131,2026-07-23
LITE,2026-09-18,930.91,67.1981,867.3492,714.1426,3966091836.0,uptrend,2,2,1026.76,818.89,higher_low,primary,818.89,802.0905,835.6895,2026-09-03
FSLY,2026-09-18,23.86,1.9259,22.8467,19.3431,116222531.0,none,1,2,25.36,19.76,breakout_retest,monitor,21.925,21.4435,22.4065,2026-07-17
AUGO,2026-09-18,88.25,4.5654,77.8783,67.7374,88791169.0,uptrend,1,2,89.19,82.22,higher_low,primary,82.22,81.0787,83.3613,2026-09-10
DAR,2026-09-18,65.36,2.4723,63.6719,55.7031,180242654.0,uptrend,1,2,68.65,58.96,higher_low,primary,58.96,58.3419,59.5781,2026-08-25
DAN,2026-09-18,29.81,1.0287,30.0075,29.2572,43018946.0,uptrend,3,3,32.3,29.06,higher_low,primary,29.06,28.8028,29.3172,2026-09-01
PBF,2026-09-18,77.19,4.2784,67.8609,51.1086,268611430.0,uptrend,3,3,82.61,63.95,higher_low,primary,63.95,62.8804,65.0196,2026-08-26
SKM,2026-09-18,35.9,1.2007,36.3644,32.3922,59476971.0,uptrend,1,2,38.71,36.31,higher_low,primary,36.31,36.0098,36.6102,2026-09-03
PARR,2026-09-18,84.37,4.4492,76.9639,61.9905,75205543.0,none,2,2,86.97,79.52,breakout_retest,monitor,83.7199,82.6076,84.8322,2026-08-17
INTC,2026-09-18,108.6,5.8416,99.2478,82.9021,9541765919.0,none,1,2,106.69,94.5233,breakout_retest,monitor,106.69,105.2296,108.1504,2026-09-09
AMD,2026-09-18,559.82,24.0041,491.6586,396.8519,9483491708.0,none,1,1,526.79,480.33,breakout_retest,monitor,526.79,520.789,532.791,2026-09-09
NESR,2026-09-18,32.58,1.482,31.6729,25.2183,57654050.0,uptrend,1,2,35.47,32.05,higher_low,primary,32.05,31.6795,32.4205,2026-08-21
THG,2026-09-18,227.31,4.4017,222.2436,200.3702,68708549.0,none,2,2,233.28,222.045,breakout_retest,monitor,226.38,225.2796,227.4804,2026-08-17
BTSG,2026-09-18,56.78,2.4913,61.1351,53.5019,151582497.0,uptrend,2,2,63.14,57.68,higher_low,primary,57.68,57.0572,58.3028,2026-09-10
SSRM,2026-09-18,36.33,1.5404,33.6405,29.4274,92214175.0,uptrend,2,1,39.44,35.69,higher_low,primary,35.69,35.3049,36.0751,2026-09-01
NWG,2026-09-18,18.67,0.3574,18.3621,17.1264,51331561.0,none,2,1,19.0,18.14,breakout_retest,monitor,18.41,18.3206,18.4994,2026-07-22
DK,2026-09-18,78.12,4.1863,67.5966,51.99,185876429.0,uptrend,2,2,77.4,69.14,higher_low,primary,69.14,68.0934,70.1866,2026-09-03
CFG,2026-09-18,67.04,1.6334,69.9375,65.0065,237501137.0,none,2,2,71.18,67.67,breakout_retest,monitor,64.025,63.6167,64.4333,2026-05-26
RELY,2026-09-18,21.93,1.087,23.826,20.6294,98332498.0,uptrend,2,3,27.479,24.3523,higher_low,primary,24.3523,24.0806,24.624,2026-08-20
GRDN,2026-09-18,44.99,1.8685,40.9918,37.1915,28848845.0,none,2,1,47.02,35.9,breakout_retest,monitor,43.4,42.9329,43.8671,2026-07-02
TAL,2026-09-18,11.81,0.3785,11.4603,11.2272,69898147.0,none,2,2,12.53,11.385,breakout_retest,monitor,10.7,10.6054,10.7946,2026-07-15
CDE,2026-09-18,19.76,1.0681,19.1082,18.6639,728928479.0,uptrend,1,2,22.45,19.76,higher_low,primary,19.76,19.493,20.027,2026-09-01
DAVE,2026-09-18,337.82,21.7653,357.1019,297.0885,119354615.0,none,1,1,394.99,302.165,breakout_retest,monitor,293.9,288.4587,299.3413,2026-06-01
GNK,2026-09-18,27.96,0.8977,26.2021,23.3954,22200734.0,uptrend,2,2,27.8171,26.07,higher_low,primary,26.07,25.8456,26.2944,2026-09-14
TILE,2026-09-18,34.26,1.0634,35.3403,31.9025,19902405.0,uptrend,2,3,40.5,33.66,higher_low,primary,33.66,33.3941,33.9259,2026-09-10
FLYW,2026-09-18,17.34,0.617,17.7483,15.7184,24873976.0,uptrend,2,2,19.27,16.9,higher_low,primary,16.9,16.7458,17.0542,2026-09-02
SBLK,2026-09-18,32.48,0.9169,29.5573,25.5831,55907688.0,uptrend,3,3,32.88,30.35,higher_low,primary,30.35,30.1208,30.5792,2026-09-14
LFST,2026-09-18,12.57,0.4805,11.7876,9.0854,68610180.0,uptrend,3,2,13.56,12.38,higher_low,primary,12.38,12.2599,12.5001,2026-09-09
BBVA,2026-09-18,28.36,0.5358,27.8136,24.6118,34224161.0,uptrend,3,3,29.64,24.9,higher_low,primary,24.9,24.766,25.034,2026-07-17
INCY,2026-09-18,125.31,3.3078,121.2241,108.4611,175733446.0,none,1,3,130.0,121.61,breakout_retest,monitor,119.6,118.773,120.427,2026-07-17
EXK,2026-09-18,10.21,0.5894,9.8703,9.4762,93354456.0,uptrend,3,3,11.649,10.13,higher_low,primary,10.13,9.9827,10.2773,2026-09-01
