ticker,last_date,last_close,atr14,ema50,ema200,avg_dollar_volume,trend,hh_count,hl_count,last_ph_price,last_pl_price,support_type,support_category,support_price,zone_low,zone_high,pivot_date
MU,2026-07-28,820.53,83.1358,902.7162,588.4068,42382547807.0,none,3,2,1255.0,804.0,breakout_retest,monitor,818.67,797.886,839.454,2026-05-11
FSLY,2026-07-28,20.8,1.4497,19.72,17.1678,91411995.0,none,1,1,21.925,15.74,breakout_retest,monitor,19.85,19.4876,20.2124,2026-06-12
CRDO,2026-07-28,192.28,23.3987,223.129,176.8812,1480490616.0,none,2,2,280.5,185.865,breakout_retest,monitor,142.0,136.1503,147.8497,2026-02-10
UNFI,2026-07-28,50.78,1.9241,48.9687,43.1056,25055819.0,none,1,2,50.9099,45.01,breakout_retest,monitor,49.8375,49.3565,50.3185,2026-04-20
DAR,2026-07-28,58.42,1.9533,59.338,51.4905,133389923.0,none,1,1,63.0,50.885,breakout_retest,monitor,54.24,53.7517,54.7283,2026-03-02
PBF,2026-07-28,61.0,3.3465,50.6612,41.0396,167007645.0,none,1,1,68.33,36.39,breakout_retest,monitor,44.665,43.8284,45.5016,2026-06-08
PARR,2026-07-28,79.09,3.3488,65.1403,53.3673,68465083.0,none,2,1,82.29,48.92,breakout_retest,monitor,62.31,61.4728,63.1472,2026-05-20
GPRE,2026-07-28,16.46,0.8619,16.2208,14.3078,21659704.0,none,1,0,19.645,14.0175,breakout_retest,monitor,15.38,15.1645,15.5955,2026-06-22
INTC,2026-07-28,86.3,8.5482,105.9355,75.0731,12086946284.0,none,1,1,106.85,89.59,breakout_retest,monitor,54.6,52.463,56.737,2026-01-22
LYG,2026-07-28,6.01,0.1378,5.756,5.3309,98994034.0,uptrend,2,2,6.17,5.83,higher_low,primary,5.83,5.7955,5.8645,2026-07-17
MYRG,2026-07-28,340.72,24.6208,414.9272,332.6,117124544.0,none,3,1,503.565,375.01,breakout_retest,monitor,290.87,284.7148,297.0252,2026-02-26
THG,2026-07-28,224.15,4.7001,205.4598,188.6731,70094577.0,uptrend,3,2,225.285,203.3613,higher_low,primary,203.3613,202.1863,204.5363,2026-07-16
BTSG,2026-07-28,72.46,2.619,65.1602,49.1761,308154822.0,uptrend,3,3,73.4,66.58,higher_low,primary,66.58,65.9252,67.2348,2026-07-15
NBIS,2026-07-28,169.69,24.3391,208.4178,154.7877,3962760317.0,none,3,2,299.86,164.31,breakout_retest,monitor,132.3,126.2152,138.3848,2026-03-16
INDV,2026-07-28,40.99,1.3467,39.0034,34.3758,62172791.0,none,1,1,41.8438,38.56,breakout_retest,monitor,38.58,38.2433,38.9167,2026-05-26
NWG,2026-07-28,17.76,0.4292,17.1532,16.1942,66361303.0,uptrend,3,3,18.41,17.215,higher_low,primary,17.215,17.1077,17.3223,2026-07-14
SEZL,2026-07-28,156.99,11.8829,147.8333,105.1242,106881470.0,uptrend,3,3,195.71,157.0,higher_low,primary,157.0,154.0293,159.9707,2026-07-13
BAP,2026-07-28,388.95,11.7883,371.7804,330.9913,110426599.0,uptrend,2,2,403.295,377.45,higher_low,primary,377.45,374.5029,380.3971,2026-07-17
DK,2026-07-28,62.8,2.8417,53.3028,42.936,72501829.0,none,2,1,68.93,40.89,breakout_retest,monitor,50.325,49.6146,51.0354,2026-06-08
CFG,2026-07-28,72.94,1.7582,68.5773,62.3271,370596891.0,uptrend,2,2,74.7,67.96,higher_low,primary,67.96,67.5205,68.3995,2026-07-08
RELY,2026-07-28,23.33,0.8699,22.0634,19.0345,65131833.0,uptrend,2,2,25.75,17.7,higher_low,primary,17.7,17.4825,17.9175,2026-06-11
AIR,2026-07-28,140.8,6.5984,128.9292,110.1861,67053282.0,uptrend,1,2,142.92,128.0,higher_low,primary,128.0,126.3504,129.6496,2026-07-10
PCG,2026-07-28,17.78,0.4462,17.1355,16.6786,301639305.0,none,2,2,17.435,16.53,breakout_retest,monitor,17.435,17.3234,17.5466,2026-06-29
CNC,2026-07-28,63.91,2.8112,62.0047,48.8687,303790306.0,uptrend,2,2,69.355,63.2,higher_low,primary,63.2,62.4972,63.9028,2026-07-15
GRDN,2026-07-28,41.86,1.6738,39.9567,35.3045,15106552.0,uptrend,1,2,43.4,38.15,higher_low,primary,38.15,37.7316,38.5684,2026-06-26
IFS,2026-07-28,58.02,1.7801,55.4878,48.8627,10538379.0,uptrend,2,3,61.38,57.0001,higher_low,primary,57.0001,56.5551,57.4451,2026-07-17
HASI,2026-07-28,38.76,0.9844,38.7108,36.3074,29968699.0,none,0,2,39.31,37.12,breakout_retest,monitor,37.34,37.0939,37.5861,2026-03-25
BB,2026-07-28,8.09,0.7184,8.9744,6.2508,258722841.0,uptrend,2,2,13.59,8.21,higher_low,primary,8.21,8.0304,8.3896,2026-06-18
DAVE,2026-07-28,406.45,25.46,348.3704,263.5044,200170595.0,uptrend,3,3,458.25,365.5,higher_low,primary,365.5,359.135,371.865,2026-07-08
NTST,2026-07-28,21.94,0.5124,21.0457,19.7915,34076968.0,uptrend,2,1,22.47,21.15,higher_low,primary,21.15,21.0219,21.2781,2026-07-15
TCBI,2026-07-28,98.71,2.5757,101.3212,96.9205,55657562.0,uptrend,3,3,107.78,100.595,higher_low,primary,100.595,99.9511,101.2389,2026-07-08
TILE,2026-07-28,34.45,1.0863,32.0834,29.6608,14055326.0,uptrend,1,3,34.82,31.53,higher_low,primary,31.53,31.2584,31.8016,2026-07-21
FLYW,2026-07-28,16.56,0.7069,16.4356,14.5601,35663860.0,uptrend,2,2,18.98,17.285,higher_low,primary,17.285,17.1083,17.4617,2026-07-09
VLY,2026-07-28,14.49,0.3148,14.2352,12.8976,102116378.0,uptrend,3,2,15.2,14.33,higher_low,primary,14.33,14.2513,14.4087,2026-07-08
XYZ,2026-07-28,83.1,2.9425,75.3744,70.4691,383167217.0,uptrend,3,1,84.08,74.761,higher_low,primary,74.761,74.0254,75.4966,2026-07-08
SBLK,2026-07-28,28.0,0.9076,26.2339,23.6916,31424930.0,uptrend,2,2,27.27,24.86,higher_low,primary,24.86,24.6331,25.0869,2026-07-17
BCH,2026-07-28,40.44,1.1097,39.5406,37.6775,11323077.0,none,1,3,41.46,38.97,breakout_retest,monitor,39.135,38.8576,39.4124,2026-05-27
LFST,2026-07-28,11.24,0.4115,9.7277,7.7441,36230541.0,uptrend,2,3,11.76,10.4,higher_low,primary,10.4,10.2971,10.5029,2026-07-08
LUV,2026-07-28,46.31,1.7856,46.2095,41.8759,271487645.0,uptrend,2,3,50.13,47.1701,higher_low,primary,47.1701,46.7237,47.6165,2026-07-14
BBVA,2026-07-28,26.52,0.5891,24.5473,22.5983,28886972.0,uptrend,3,3,26.395,24.9,higher_low,primary,24.9,24.7527,25.0473,2026-07-17
INCY,2026-07-28,129.93,4.1881,110.0401,100.6208,218878425.0,uptrend,3,2,119.6,110.56,higher_low,primary,110.56,109.513,111.607,2026-07-15
RSI,2026-07-28,30.69,1.3146,29.958,24.6157,77144701.0,uptrend,2,2,34.53,27.82,higher_low,primary,27.82,27.4913,28.1487,2026-06-18
LTM,2026-07-28,53.53,1.9352,53.0941,52.2671,38578312.0,uptrend,3,3,58.92,53.4059,higher_low,primary,53.4059,52.9221,53.8897,2026-06-23
