signal_date,ticker,support_category,support_type,last_close,support_price,zone_low,zone_high,last_open,last_high,last_low,atr14,ema50,ema200,hh_count,hl_count,last_ph_price,last_pl_price,recent_high_20,recent_high_252,lower_tail_ratio,score,score_trend,score_support_quality,score_reaction,score_liquidity,score_room,reasons
2026-05-04,PUMP,monitor,breakout_retest,16.85,15.49,15.2385,15.7415,15.96,16.95,15.73,1.0058,14.3968,10.6976,3,2,15.49,12.92,18.5,18.5,0.189,89.2,100.0,100.0,84.2,54.5,79.2,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-05-04,DK,monitor,breakout_retest,48.04,45.74,45.1507,46.3293,47.26,48.06,46.25,2.3571,41.1291,34.4603,2,2,48.32,37.02,48.06,48.32,0.558,78.9,100.0,93.1,100.0,54.8,0.6,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close;strong_lower_tail_rejection
2026-05-04,KC,monitor,breakout_retest,15.21,14.84,14.6579,15.0221,15.0,15.51,14.93,0.7282,14.8476,13.6413,2,1,18.38,12.73,18.38,18.38,0.121,74.8,75.0,81.5,79.1,18.6,95.4,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-05-04,FLYW,monitor,breakout_retest,14.22,14.14,14.0038,14.2762,14.0,14.33,13.76,0.5447,12.8519,12.5882,1,2,14.14,13.1,14.33,15.25,0.421,72.6,75.0,69.8,100.0,23.0,69.0,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close;strong_lower_tail_rejection
2026-05-04,PARR,monitor,breakout_retest,67.36,66.78,65.8886,67.6714,66.15,67.49,65.0,3.5657,58.0091,44.1047,1,2,66.78,54.0,68.0,68.0,0.462,70.9,75.0,70.6,100.0,86.4,14.3,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close;strong_lower_tail_rejection
2026-05-04,GPRE,monitor,breakout_retest,18.07,17.94,17.7366,18.1434,17.54,18.09,17.35,0.8136,15.5707,11.9256,3,2,17.94,14.08,18.09,18.09,0.257,67.9,100.0,70.5,89.3,21.5,1.7,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-05-04,ANIP,monitor,breakout_retest,82.32,82.08,81.4464,82.7136,80.26,83.83,80.26,2.5346,78.1592,78.4676,2,2,82.425,76.84,83.83,99.5,0.0,67.5,100.0,67.2,70.0,25.4,27.5,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
